mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li2880,0.1,6.95,0.056393932157383087,0.0024324242700920814,0.0
LiCl-NaCl,Li,li2880,0.1,7.050000000000001,0.042642039517133634,0.003080879451977031,0.0
LiCl-NaCl,Li,li2880,0.1,7.15,0.03444123457373294,0.003336177706224695,0.0
LiCl-NaCl,Li,li2880,0.1,7.25,0.015805688460543532,0.008032546574209485,0.0
LiCl-NaCl,Li,li2880,0.1,7.3500000000000005,0.004400221912420399,0.002700714575679353,0.0
LiCl-NaCl,Li,li2880,0.1,7.45,-0.005979136381146111,0.004175747990857797,0.0
LiCl-NaCl,Li,li2880,0.1,7.550000000000001,-0.015625742843432544,0.004795881445418615,0.0
LiCl-NaCl,Li,li2880,0.1,7.65,-0.025943855374173985,0.003040263692514691,0.0
LiCl-NaCl,Li,li2880,0.1,7.75,-0.031659167964919854,0.007083956109765489,0.0
LiCl-NaCl,Li,li2880,0.1,7.8500000000000005,-0.038517184636352564,0.0014536626739359126,0.0
LiCl-NaCl,Li,li2880,0.1,7.95,-0.04337976481923911,0.006228810843132478,0.0
LiCl-NaCl,Li,li2880,0.1,8.05,-0.04863902220271754,0.0036519490422787957,0.0
LiCl-NaCl,Li,li2880,0.1,8.15,-0.04824140423508605,0.002227977198285123,0.0
LiCl-NaCl,Li,li2880,0.1,8.25,-0.05081488787315536,0.006685906350369128,0.0
LiCl-NaCl,Li,li2880,0.1,8.350000000000001,-0.0490293252055769,0.005687368457619142,0.0
LiCl-NaCl,Li,li2880,0.1,8.45,-0.045313287132809243,0.0021803270699033324,0.0
LiCl-NaCl,Li,li2880,0.1,8.55,-0.03884832920671277,0.0026504967669621184,0.0
LiCl-NaCl,Li,li2880,0.1,8.65,-0.03331185047418028,0.003959539634120129,0.0
LiCl-NaCl,Li,li2880,0.1,8.75,-0.023907208853868323,0.006283379592972068,0.0
LiCl-NaCl,Li,li2880,0.1,8.850000000000001,-0.016718032452976095,0.002746128915811957,0.0
LiCl-NaCl,Li,li2880,0.1,8.95,-0.01309954574675265,0.003603260072511283,0.0
LiCl-NaCl,Li,li2880,0.1,9.05,-0.0018904582440462114,0.004697426939746516,0.0
LiCl-NaCl,Li,li2880,0.1,9.15,0.005745536297554588,0.003929095699859857,0.0
LiCl-NaCl,Li,li2880,0.1,9.25,0.013225444219334803,0.0037184245558417135,0.0
LiCl-NaCl,Li,li2880,0.1,9.350000000000001,0.01742838181780959,0.0033413893823320347,0.0
LiCl-NaCl,Li,li2880,0.1,9.45,0.022698308133210277,0.002316507449721476,0.0
LiCl-NaCl,Li,li2880,0.1,9.55,0.02604588019448828,0.0025880926433468877,0.0
LiCl-NaCl,Li,li2880,0.1,9.650000000000002,0.029775354578706392,0.004757741217439635,0.0
LiCl-NaCl,Li,li2880,0.1,9.75,0.030796885842801935,0.0032633620848715214,0.0
LiCl-NaCl,Li,li2880,0.1,9.850000000000001,0.0306662077847647,0.0025296795158218847,0.0
LiCl-NaCl,Li,li2880,0.1,9.95,0.030834659268142772,0.0031410456672845417,0.0
LiCl-NaCl,Li,li2880,0.1,10.05,0.027171082971895966,0.0013888252674703844,0.0
LiCl-NaCl,Li,li2880,0.1,10.150000000000002,0.024590751563144053,0.0013516007712049687,0.0
LiCl-NaCl,Li,li2880,0.1,10.25,0.02443362021188933,0.006026930233280501,0.0
LiCl-NaCl,Li,li2880,0.1,10.350000000000001,0.01922439580472346,0.004652040984492163,0.0
LiCl-NaCl,Li,li2880,0.1,10.45,0.013806930599654876,0.0026229925386437604,0.0
LiCl-NaCl,Li,li2880,0.1,10.55,0.00872675781261567,0.0061940173485458124,0.0
LiCl-NaCl,Li,li2880,0.1,10.650000000000002,0.001160496254223875,0.002037030442316085,0.0
LiCl-NaCl,Li,li2880,0.1,10.75,-0.0007978629615892352,0.003149063557512183,0.0
LiCl-NaCl,Li,li2880,0.1,10.850000000000001,-0.0029782758567544754,0.0021024202666249207,0.0
LiCl-NaCl,Li,li2880,0.1,10.95,-0.006185917574633271,0.003082471846652125,0.0
LiCl-NaCl,Li,li2880,0.1,11.05,-0.01317532361472984,0.002379391236407874,0.0
LiCl-NaCl,Li,li2880,0.1,11.150000000000002,-0.013033077667046422,0.0030799438106394374,0.0
LiCl-NaCl,Li,li2880,0.1,11.25,-0.01559097081866545,0.003818970062959584,0.0
LiCl-NaCl,Li,li2880,0.1,11.350000000000001,-0.01631390008143918,0.0035954711406762066,0.0
LiCl-NaCl,Li,li2880,0.1,11.45,-0.019202196607999822,0.00399878642134362,0.0
LiCl-NaCl,Li,li2880,0.1,11.55,-0.01638578074454755,0.004473437811754673,0.0
LiCl-NaCl,Li,li2880,0.1,11.650000000000002,-0.0171933247453262,0.0020080238536853974,0.0
LiCl-NaCl,Li,li2880,0.1,11.75,-0.015438927679779724,0.0025976455640853336,0.0
LiCl-NaCl,Li,li2880,0.1,11.850000000000001,-0.012463607627670514,0.0018964959360075596,0.0
LiCl-NaCl,Li,li2880,0.1,11.95,-0.01157716894520866,0.000773190563425487,0.0
LiCl-NaCl,Li,li2720,0.15,0.05,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.15000000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.25,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.35000000000000003,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.45,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.55,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.75,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.8500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.95,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.05,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.1500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.25,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.35,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.4500000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.55,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.6500000000000001,1.0,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.75,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.85,1.0,0.0,0.0
LiCl-NaCl,Li,li2720,0.15,1.9500000000000002,1.0,0.0,0.0
LiCl-NaCl,Li,li2720,0.15,2.05,0.9420471014492754,0.04887957350738724,0.0
LiCl-NaCl,Li,li2720,0.15,2.1500000000000004,0.9032560483870968,0.056827477731970395,0.0
LiCl-NaCl,Li,li2720,0.15,2.25,0.8947380791215404,0.022452413510854332,0.0
LiCl-NaCl,Li,li2720,0.15,2.3500000000000005,0.861262452851919,0.02123935380649153,0.0
LiCl-NaCl,Li,li2720,0.15,2.45,0.8309344666266387,0.004437869735105663,0.0
LiCl-NaCl,Li,li2720,0.15,2.55,0.7864735214744327,0.011372014237922886,0.0
LiCl-NaCl,Li,li2720,0.15,2.6500000000000004,0.7157926613093831,0.005104018928203008,0.0
LiCl-NaCl,Li,li2720,0.15,2.75,0.6517147780911983,0.005779326785499696,0.0
LiCl-NaCl,Li,li2720,0.15,2.8500000000000005,0.577293902327376,0.011173162669343957,0.0
LiCl-NaCl,Li,li2720,0.15,2.95,0.4997732390446311,0.005891560836580158,0.0
LiCl-NaCl,Li,li2720,0.15,3.05,0.4211489610350514,0.010185643033295371,0.0
LiCl-NaCl,Li,li2720,0.15,3.1500000000000004,0.34676341528483234,0.006199828164256737,0.0
LiCl-NaCl,Li,li2720,0.15,3.25,0.26892489992943847,0.008032383553489036,0.0
LiCl-NaCl,Li,li2720,0.15,3.3500000000000005,0.20602848249178063,0.011547932944926122,0.0
LiCl-NaCl,Li,li2720,0.15,3.45,0.1425517198519528,0.010014378593817076,0.0
LiCl-NaCl,Li,li2720,0.15,3.55,0.08865333827063893,0.0034724730114500052,0.0
LiCl-NaCl,Li,li2720,0.15,3.6500000000000004,0.034927727134017705,0.0072058029422035295,0.0
LiCl-NaCl,Li,li2720,0.15,3.75,-0.0008844964934144883,0.006463149964262037,0.0
LiCl-NaCl,Li,li2720,0.15,3.8500000000000005,-0.03175109693053546,0.009173752096329745,0.0
LiCl-NaCl,Li,li2720,0.15,3.95,-0.04909172017290553,0.007887408989327568,0.0
LiCl-NaCl,Li,li2720,0.15,4.050000000000001,-0.06700726318239858,0.006560907674481375,0.0
LiCl-NaCl,Li,li2720,0.15,4.15,-0.08214934587547695,0.007059875715468056,0.0
LiCl-NaCl,Li,li2720,0.15,4.25,-0.08463643845001112,0.003879176689682964,0.0
LiCl-NaCl,Li,li2720,0.15,4.35,-0.09804226100162206,0.009245747440207203,0.0
LiCl-NaCl,Li,li2720,0.15,4.45,-0.11352833101164994,0.005816056078422451,0.0
LiCl-NaCl,Li,li2720,0.15,4.550000000000001,-0.13139655777002202,0.007779346260121156,0.0
LiCl-NaCl,Li,li2720,0.15,4.65,-0.15401497699465883,0.007502787509609613,0.0
LiCl-NaCl,Li,li2720,0.15,4.75,-0.1704108706375631,0.006399976869457703,0.0
LiCl-NaCl,Li,li2720,0.15,4.8500000000000005,-0.19161509179206826,0.009467955517281787,0.0
LiCl-NaCl,Li,li2720,0.15,4.95,-0.1916685572524217,0.002417054986814965,0.0
LiCl-NaCl,Li,li2720,0.15,5.050000000000001,-0.18628798147872905,0.006420019079530856,0.0
LiCl-NaCl,Li,li2720,0.15,5.15,-0.1729185274659366,0.004760049771099416,0.0
LiCl-NaCl,Li,li2720,0.15,5.25,-0.1481275258242838,0.01056053722362454,0.0
LiCl-NaCl,Li,li2720,0.15,5.3500000000000005,-0.11805418427994008,0.003560651574803527,0.0
LiCl-NaCl,Li,li2720,0.15,5.45,-0.08590871986817805,0.005593809914663401,0.0
LiCl-NaCl,Li,li2720,0.15,5.550000000000001,-0.0509037621141597,0.008059677537248788,0.0
