system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_F,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.034999999999999996,0.034999999999999996,-0.14410071573110944,kJ/mol,-0.058129573853170996,-0.0014934986754724375,-0.14410071573110944,-0.017082244286485342,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.17382384345396582,0.10035724280972254,0.07011974849836193,0.04048365567103812,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0375,0.0375,-0.09595177847471298,kJ/mol,-0.038706511379143646,-0.0009944701060931038,-0.09595177847471298,0.00234081818754201,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.1563734300810709,0.09028224195141142,0.06308033104799415,0.036419446111130134,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.04,0.04,-0.04860164333638901,kJ/mol,-0.019605682049351397,-0.000503720537267327,-0.04860164333638901,0.02144164751733426,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.16675077419217088,0.09627360436742836,0.06726650450206345,0.03883633448171151,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0,0.0,0.006818054881705168,kJ/mol,0.0027503723542956077,7.066415932399655e-05,0.006818054881705168,0.043797701920981265,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22356251368010244,0.12907387745391655,0.09018410202776313,0.05206781558235372,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0025,0.0025,-0.14277873251673504,kJ/mol,-0.05759629183230981,-0.0014797972849578398,-0.14277873251673504,-0.01654896226562416,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.23380186678893577,0.1349855707276291,0.09431461053862493,0.05445256578298982,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.005,0.005,-0.23899574841568347,kJ/mol,-0.09640979878300558,-0.002477016383238606,-0.23899574841568347,-0.055362469216319925,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.23980683187869598,0.13845253893867646,0.09673698616597631,0.05585112500351953,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0075,0.0075,-0.29345998054141087,kJ/mol,-0.11838042250715428,-0.003041498371601392,-0.29345998054141087,-0.07733309294046861,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.23950345416490085,0.1382773837339507,0.09661460497494624,0.055780468189934575,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.01,0.01,-0.31628068868645864,kJ/mol,-0.12758619246304095,-0.003278018344559541,-0.31628068868645864,-0.0865388628963553,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.23568908618327444,0.1360751573529704,0.0950759062657402,0.054892100075972734,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0125,0.0125,-0.31592277291158943,kJ/mol,-0.1274418108660245,-0.003274308808954629,-0.31592277291158943,-0.08639448129933883,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2315252941362314,0.1336711908937605,0.09339625147651988,0.053922350931270735,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.015,0.015,-0.29916294237984165,kJ/mol,-0.12068097139538791,-0.003100605405933265,-0.29916294237984165,-0.07963364182870226,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22901405355090493,0.13222132546582233,0.09238322843685498,0.05333748180662492,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0175,0.0175,-0.2711260588555965,kJ/mol,-0.10937101999669743,-0.00281002358477167,-0.2711260588555965,-0.06832369043001178,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2285792990849286,0.1319703198578595,0.09220785046104309,0.053236227285079984,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.02,0.02,-0.23539581205307508,kJ/mol,-0.09495760081441643,-0.002439705672031778,-0.23539581205307508,-0.053910271247730776,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22929953245254117,0.13238614678653,0.09249838932840221,0.053403969978359826,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0225,0.0225,-0.19419097494977197,kJ/mol,-0.07833575678434376,-0.002012647629157982,-0.19419097494977197,-0.037288427217658106,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22956018965752978,0.13253663729399637,0.09260353726032516,0.053464677165160276,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.025,0.025,-0.1485959997586136,kJ/mol,-0.0599429510008278,-0.001540089011314194,-0.1485959997586136,-0.01889562143414214,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22782854284455115,0.1315368705403818,0.09190499880552332,0.053061375800241124,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0275,0.0275,-0.09883276423147072,kJ/mol,-0.03986868794063888,-0.0010243294193514885,-0.09883276423147072,0.0011786416260467798,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22333068492379607,0.12894003105905716,0.09009058336102628,0.05201382255493894,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.03,0.03,-0.04455891088344616,kJ/mol,-0.017974862150229837,-0.00046182056797761095,-0.04455891088344616,0.02307246741645582,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.216580656654147,0.1250429004205377,0.08736765263288383,0.0504417377660612,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0325,0.0325,0.014822483235548982,kJ/mol,0.00597932237571961,0.00015362421322606695,0.014822483235548982,0.04702665194240527,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.20983449920849442,0.12114800460329457,0.08464628337755041,0.048870554493930074,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.034999999999999996,0.034999999999999996,0.07985721455874112,kJ/mol,0.03221403743797439,0.0008276617056708347,0.07985721455874112,0.07326136700466004,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2076062040805783,0.11986149781135828,0.08374739924954537,0.04835158350065608,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.0375,0.0375,0.15075293644967194,kJ/mol,0.060813049459696324,0.0015624440848114318,0.15075293644967194,0.10186037902638198,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.21729991613073535,0.12545816507296317,0.08765779863702966,0.05060925363965909,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.005,0.04,0.04,0.22712429036975232,kJ/mol,0.09162090655769933,0.002353977390839645,0.22712429036975232,0.132668236124385,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2494675735546291,0.14403017074584787,0.10063408545433414,0.05810111632671162,3
