system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_I,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.052500000000000005,0.052500000000000005,3.7618550791130416,kJ/mol,1.5175152429795942,0.038988880447050185,3.7618550791130416,1.5319412912394619,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.3479077879275625,0.20086465501314546,0.14034442056600116,0.08102788899304282,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.055,0.055,4.005207376148991,kJ/mol,1.6156824536774665,0.041511049274959085,4.005207376148991,1.6301085019373343,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.32050355857487967,0.18504281581943977,0.12928967898499114,0.07464543096542493,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0575,0.0575,4.257136265099095,kJ/mol,1.7173094225767667,0.044122108214196494,4.257136265099095,1.7317354708366344,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.29149353275393275,0.16829386960251808,0.11758716640630383,0.06788898217792484,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.06,0.06,4.518888286941512,kJ/mol,1.8228989986431179,0.04683497675159743,4.518888286941512,1.8373250469029856,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2633330107851221,0.15203538466330488,0.10622733982095663,0.06133038324092716,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0625,0.0625,4.791467706532894,kJ/mol,1.9328562977557624,0.04966006335894235,4.791467706532894,1.94728234601563,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.23853042001804153,0.13771560220733078,0.09622208742210442,0.055553848075139696,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.065,0.065,5.075618783166366,kJ/mol,2.0474815507312236,0.05260508174023926,5.075618783166366,2.0619075989910916,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.21970297238404865,0.1268455702476914,0.08862718060880928,0.05116892658201362,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0675,0.0675,5.371831121480006,kJ/mol,2.1669722618554705,0.05567510628998206,5.371831121480006,2.1813983101153385,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.20968729149899318,0.12106301419258725,0.08458690045653033,0.04883626974849387,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.07,0.07,5.6803653720869605,kJ/mol,2.2914335764013067,0.05887283846141144,5.6803653720869605,2.3058596246611747,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2113469799412905,0.12202123576151852,0.08525641123161772,0.049222811974715924,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.07250000000000001,0.07250000000000001,6.001295261111311,kJ/mol,2.4208952351521345,0.06219904237195806,6.001295261111311,2.4353212834120024,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2267458838310413,0.13091179706749131,0.09146825907967027,0.052809224001954064,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.07500000000000001,0.07500000000000001,6.334560926761676,kJ/mol,2.555333090133356,0.06565309759787397,6.334560926761676,2.569759138393224,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.25620640414136486,0.14792083639912307,0.10335249908807785,0.0596705931699223,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.07750000000000001,0.07750000000000001,6.680027936237695,kJ/mol,2.6946929117642417,0.06923361084136559,6.680027936237695,2.7091189600241097,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.29823776856323536,0.17218765596249724,0.12030776048226664,0.06945971790003767,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.08,0.08,7.03754608765286,kJ/mol,2.838914109286374,0.0729390253695783,7.03754608765286,2.853340157546242,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.35022549339253833,0.20220278288725152,0.1412793724176465,0.0815676836962696,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0825,0.0825,7.407002274552378,kJ/mol,2.9879510560699076,0.07676816891671479,7.407002274552378,3.0023771043297756,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.4090916825019921,0.23618919301576208,0.1650257255841211,0.09527764708920564,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.085,0.085,7.788362195600692,kJ/mol,3.1417899151119633,0.08072068597448379,7.788362195600692,3.156215963371831,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.4716778279844015,0.2723233209575722,0.19027269224592264,0.10985399008761826,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0875,0.0875,8.181696556072236,kJ/mol,3.300459208598923,0.0847973093514156,8.181696556072236,3.314885256858791,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.5350186894617368,0.3088931843822146,0.21582410791023307,0.12460610679958391,3
