system,x_NaCl,pair,r_A,g_r,g_r_block_sd
cl4256,0.014925373,Mg-Cl,3.53000,0.32564981,0.00610079
cl4256,0.014925373,Mg-Cl,3.55000,0.32899558,0.00590042
cl4256,0.014925373,Mg-Cl,3.57000,0.33055797,0.00512156
cl4256,0.014925373,Mg-Cl,3.59000,0.34286729,0.00253194
cl4256,0.014925373,Mg-Cl,3.61000,0.34422586,0.00606264
cl4256,0.014925373,Mg-Cl,3.63000,0.35124863,0.00593993
cl4256,0.014925373,Mg-Cl,3.65000,0.36073344,0.00718956
cl4256,0.014925373,Mg-Cl,3.67000,0.36470560,0.00113455
cl4256,0.014925373,Mg-Cl,3.69000,0.36838479,0.00755654
cl4256,0.014925373,Mg-Cl,3.71000,0.37557273,0.00539552
cl4256,0.014925373,Mg-Cl,3.73000,0.38026607,0.00414194
cl4256,0.014925373,Mg-Cl,3.75000,0.39194815,0.00725349
cl4256,0.014925373,Mg-Cl,3.77000,0.39959934,0.00944948
cl4256,0.014925373,Mg-Cl,3.79000,0.40680330,0.00344995
cl4256,0.014925373,Mg-Cl,3.81000,0.41599226,0.00749390
cl4256,0.014925373,Mg-Cl,3.83000,0.42102032,0.00839868
cl4256,0.014925373,Mg-Cl,3.85000,0.43456696,0.00909120
cl4256,0.014925373,Mg-Cl,3.87000,0.43942471,0.00677405
cl4256,0.014925373,Mg-Cl,3.89000,0.45398730,0.00672311
cl4256,0.014925373,Mg-Cl,3.91000,0.45432189,0.01011257
cl4256,0.014925373,Mg-Cl,3.93000,0.46585253,0.00743085
cl4256,0.014925373,Mg-Cl,3.95000,0.47998628,0.00749440
cl4256,0.014925373,Mg-Cl,3.97000,0.48439698,0.00654984
cl4256,0.014925373,Mg-Cl,3.99000,0.49901023,0.00658672
cl4256,0.014925373,Mg-Cl,4.01000,0.51090801,0.00864578
cl4256,0.014925373,Mg-Cl,4.03000,0.52178582,0.00655952
cl4256,0.014925373,Mg-Cl,4.05000,0.52783333,0.00601835
cl4256,0.014925373,Mg-Cl,4.07000,0.54118643,0.00959253
cl4256,0.014925373,Mg-Cl,4.09000,0.55680721,0.00575561
cl4256,0.014925373,Mg-Cl,4.11000,0.56544956,0.00780125
cl4256,0.014925373,Mg-Cl,4.13000,0.57690389,0.00780180
cl4256,0.014925373,Mg-Cl,4.15000,0.58223277,0.00763245
cl4256,0.014925373,Mg-Cl,4.17000,0.59616710,0.00657135
cl4256,0.014925373,Mg-Cl,4.19000,0.60470912,0.00806170
cl4256,0.014925373,Mg-Cl,4.21000,0.62016726,0.00603797
cl4256,0.014925373,Mg-Cl,4.23000,0.63081516,0.00744308
cl4256,0.014925373,Mg-Cl,4.25000,0.64526459,0.00341683
cl4256,0.014925373,Mg-Cl,4.27000,0.65394991,0.00665659
cl4256,0.014925373,Mg-Cl,4.29000,0.66799863,0.00532059
