system,x_NaCl,r_A,g_LiCl,g_LiCl_block_sd,cutoff_A
li3040,0.05,1.17,0.0,0.0,3.613764810414501
li3040,0.05,1.19,0.0,0.0,3.613764810414501
li3040,0.05,1.21,0.0,0.0,3.613764810414501
li3040,0.05,1.23,0.0,0.0,3.613764810414501
li3040,0.05,1.25,0.0,0.0,3.613764810414501
li3040,0.05,1.27,0.0,0.0,3.613764810414501
li3040,0.05,1.29,0.0,0.0,3.613764810414501
li3040,0.05,1.31,0.0,0.0,3.613764810414501
li3040,0.05,1.33,0.0,0.0,3.613764810414501
li3040,0.05,1.35,0.0,0.0,3.613764810414501
li3040,0.05,1.37,0.0,0.0,3.613764810414501
li3040,0.05,1.3900000000000001,0.0,0.0,3.613764810414501
li3040,0.05,1.4100000000000001,0.0,0.0,3.613764810414501
li3040,0.05,1.43,0.0,0.0,3.613764810414501
li3040,0.05,1.45,0.0,0.0,3.613764810414501
li3040,0.05,1.47,0.0,0.0,3.613764810414501
li3040,0.05,1.49,0.0,0.0,3.613764810414501
li3040,0.05,1.51,0.0,0.0,3.613764810414501
li3040,0.05,1.53,0.0,0.0,3.613764810414501
li3040,0.05,1.55,0.0,0.0,3.613764810414501
li3040,0.05,1.57,0.0,0.0,3.613764810414501
li3040,0.05,1.59,0.0,0.0,3.613764810414501
li3040,0.05,1.61,0.0,0.0,3.613764810414501
li3040,0.05,1.6300000000000001,0.0,0.0,3.613764810414501
li3040,0.05,1.6500000000000001,0.0,0.0,3.613764810414501
li3040,0.05,1.67,0.0,0.0,3.613764810414501
li3040,0.05,1.69,0.0,0.0,3.613764810414501
li3040,0.05,1.71,7.574459748762196e-05,0.00016941116098725703,3.613764810414501
li3040,0.05,1.73,0.0,0.0,3.613764810414501
li3040,0.05,1.75,0.0006508943753541444,0.0004714645234296727,3.613764810414501
li3040,0.05,1.77,0.000565571695961538,0.000474172161917209,3.613764810414501
li3040,0.05,1.79,0.002834145290147832,0.0008949402575815521,3.613764810414501
li3040,0.05,1.81,0.0045972294245277216,0.000911075022965177,3.613764810414501
li3040,0.05,1.83,0.012698240847242916,0.0017867135017650617,3.613764810414501
li3040,0.05,1.85,0.02355605342515786,0.0037966978516357068,3.613764810414501
li3040,0.05,1.87,0.040219364676217645,0.0040917422849041825,3.613764810414501
li3040,0.05,1.8900000000000001,0.0777532782817474,0.0044189177388122905,3.613764810414501
li3040,0.05,1.9100000000000001,0.12816409174353063,0.005454671168658831,3.613764810414501
li3040,0.05,1.93,0.20186922130744206,0.006840259620159593,3.613764810414501
li3040,0.05,1.95,0.3115065639256486,0.006452448469042444,3.613764810414501
li3040,0.05,1.97,0.45062967822819805,0.009753242455808728,3.613764810414501
li3040,0.05,1.99,0.6168437403039958,0.012900569281461367,3.613764810414501
li3040,0.05,2.01,0.820133834586827,0.02016908895041705,3.613764810414501
li3040,0.05,2.0300000000000002,1.067251762327891,0.012281454776124374,3.613764810414501
li3040,0.05,2.05,1.3441445220453287,0.014511264161252268,3.613764810414501
li3040,0.05,2.0700000000000003,1.6315882078653945,0.016180410205801583,3.613764810414501
