mixture,central_cation,system,x_NaCl,n_cation_Cl,probability,block_sd,cutoff_A
LiCl-NaCl,Li,li1920,0.4,3+,0.4982546875,0.0009623116445164055,3.593186248679602
LiCl-NaCl,Li,li1760,0.45,0,0.039134375,0.0007813945178833329,3.61837556799174
LiCl-NaCl,Li,li1760,0.45,1,0.194540625,0.0007810820131894735,3.61837556799174
LiCl-NaCl,Li,li1760,0.45,2,0.343396875,0.0012910779698448698,3.61837556799174
LiCl-NaCl,Li,li1760,0.45,3+,0.422928125,0.0008098929025938358,3.61837556799174
LiCl-NaCl,Li,li1600,0.5,0,0.0600578125,0.0019836797502526702,3.595666661405148
LiCl-NaCl,Li,li1600,0.5,1,0.2456,0.0016660730957994878,3.595666661405148
LiCl-NaCl,Li,li1600,0.5,2,0.357590625,0.0024688773206883678,3.595666661405148
LiCl-NaCl,Li,li1600,0.5,3+,0.3367515625,0.0018644347517034322,3.595666661405148
LiCl-NaCl,Li,li1440,0.55,0,0.0869953125,0.0005402669967103094,3.629865189523814
LiCl-NaCl,Li,li1440,0.55,1,0.29025,0.0011360272273709558,3.629865189523814
LiCl-NaCl,Li,li1440,0.55,2,0.3504109375,0.001993493750676017,3.629865189523814
LiCl-NaCl,Li,li1440,0.55,3+,0.27234375,0.0009644403888638608,3.629865189523814
LiCl-NaCl,Li,li1280,0.6,0,0.1194015625,0.0013251529245477687,3.682800577075379
LiCl-NaCl,Li,li1280,0.6,1,0.3304875,0.0017626201615732074,3.682800577075379
LiCl-NaCl,Li,li1280,0.6,2,0.3361046875,0.0013695247878484165,3.682800577075379
LiCl-NaCl,Li,li1280,0.6,3+,0.21400625,0.0006986707873817348,3.682800577075379
LiCl-NaCl,Li,li1120,0.65,0,0.1637625,0.002092507793817619,3.71959267002497
LiCl-NaCl,Li,li1120,0.65,1,0.3688078125,0.0033250453400926446,3.71959267002497
LiCl-NaCl,Li,li1120,0.65,2,0.3070078125,0.0010372840748575781,3.71959267002497
LiCl-NaCl,Li,li1120,0.65,3+,0.160421875,0.0009307865090291185,3.71959267002497
LiCl-NaCl,Li,li960,0.7,0,0.235446875,0.0012654971964792636,3.5896301055492486
LiCl-NaCl,Li,li960,0.7,1,0.4109359375,0.0016802088580413564,3.5896301055492486
LiCl-NaCl,Li,li960,0.7,2,0.260534375,0.001299503172790958,3.5896301055492486
LiCl-NaCl,Li,li960,0.7,3+,0.0930828125,0.0009057548485672739,3.5896301055492486
LiCl-NaCl,Li,li800,0.75,0,0.3050609375,0.002280797793365014,3.6689356652982226
LiCl-NaCl,Li,li800,0.75,1,0.417721875,0.0031084454090957027,3.6689356652982226
LiCl-NaCl,Li,li800,0.75,2,0.21464375,0.0011278798859405944,3.6689356652982226
LiCl-NaCl,Li,li800,0.75,3+,0.0625734375,0.001277965970393726,3.6689356652982226
LiCl-NaCl,Li,li640,0.8,0,0.3988796875,0.0014822414765893845,3.6623742724757475
LiCl-NaCl,Li,li640,0.8,1,0.4096984375,0.002487686962980106,3.6623742724757475
LiCl-NaCl,Li,li640,0.8,2,0.1581984375,0.0009245789265423769,3.6623742724757475
LiCl-NaCl,Li,li640,0.8,3+,0.0332234375,0.0002328465788816216,3.6623742724757475
LiCl-NaCl,Li,li480,0.85,0,0.5099140625,0.0009325716816450718,3.690349369455803
LiCl-NaCl,Li,li480,0.85,1,0.372203125,0.0014646093562469952,3.690349369455803
LiCl-NaCl,Li,li480,0.85,2,0.1027828125,0.0004978101459454678,3.690349369455803
LiCl-NaCl,Li,li480,0.85,3+,0.0151,0.00025919374314279883,3.690349369455803
LiCl-NaCl,Li,li320,0.9,0,0.6531625,0.0006685829595705747,3.6259393792121584
LiCl-NaCl,Li,li320,0.9,1,0.2918359375,0.0017240242229981395,3.6259393792121584
LiCl-NaCl,Li,li320,0.9,2,0.05049375,0.0011191716427856923,3.6259393792121584
LiCl-NaCl,Li,li320,0.9,3+,0.0045078125,9.127594879334322e-05,3.6259393792121584
LiCl-NaCl,Li,li160,0.95,0,0.8085265625,0.000651901515520195,3.7205122043101237
LiCl-NaCl,Li,li160,0.95,1,0.175640625,0.001208427337848394,3.7205122043101237
LiCl-NaCl,Li,li160,0.95,2,0.0151546875,0.0005919586464124837,3.7205122043101237
LiCl-NaCl,Li,li160,0.95,3+,0.000678125,4.60208639844473e-05,3.7205122043101237
MgCl2-NaCl,Mg,cl4256,0.0149253731343283,0,2.349624060150376e-06,3.2173552485030907e-06,3.36046144
MgCl2-NaCl,Mg,cl4256,0.0149253731343283,1,0.0303195488721804,0.0005614046751693,3.36046144
MgCl2-NaCl,Mg,cl4256,0.0149253731343283,2,0.7324459586466165,0.0010028708423639,3.36046144
MgCl2-NaCl,Mg,cl4256,0.0149253731343283,3+,0.2372321428571428,0.0008289982653899,3.36046144
MgCl2-NaCl,Mg,cl4224,0.0588235294117647,0,2.959280303030303e-05,9.35806599244904e-06,3.37632537
MgCl2-NaCl,Mg,cl4224,0.0588235294117647,1,0.0537346117424242,0.0003591108290523,3.37632537
MgCl2-NaCl,Mg,cl4224,0.0588235294117647,2,0.7203776041666666,0.0017492475837509,3.37632537
MgCl2-NaCl,Mg,cl4224,0.0588235294117647,3+,0.2258581912878788,0.0014259494117201,3.37632537
MgCl2-NaCl,Mg,cl4192,0.1014492753623188,0,6.560114503816794e-05,2.1912181620794175e-05,3.39496007
MgCl2-NaCl,Mg,cl4192,0.1014492753623188,1,0.0787750477099236,0.0003919770211153,3.39496007
MgCl2-NaCl,Mg,cl4192,0.1014492753623188,2,0.7068654580152671,0.0011489173466092,3.39496007
MgCl2-NaCl,Mg,cl4192,0.1014492753623188,3+,0.2142938931297709,0.0009824744296623,3.39496007
MgCl2-NaCl,Mg,cl4128,0.1830985915492957,0,0.0003863856589147,6.371975987191199e-05,3.35308866
MgCl2-NaCl,Mg,cl4128,0.1830985915492957,1,0.1430038759689922,0.0006058381390645,3.35308866
MgCl2-NaCl,Mg,cl4128,0.1830985915492957,2,0.6864886143410853,0.0013896310447654,3.35308866
MgCl2-NaCl,Mg,cl4128,0.1830985915492957,3+,0.1701211240310077,0.0014277525660793,3.35308866
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,0,0.0011417322834645,0.000100197049806,3.35967207
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,1,0.2124483267716535,0.00075067614644,3.35967207
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,2,0.6460482283464567,0.0013217127662345,3.35967207
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,3+,0.1403617125984252,0.00070427337874,3.35967207
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,0,0.0030675,0.0001747989917018,3.36253151
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,1,0.28904375,0.0008498276479675,3.36253151
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,2,0.59802875,0.0015136269045739,3.36253151
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,3+,0.10986,0.000723970173764,3.36253151
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,0,0.0068737296747967,0.0002358412710079,3.40862564
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,1,0.3663401930894309,0.0009355084831624,3.40862564
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,2,0.5380843495934959,0.0009049339711792,3.40862564
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,3+,0.0887017276422764,0.0005316314769889,3.40862564
MgCl2-NaCl,Mg,cl3872,0.4683544303797468,0,0.0142884814049586,0.0004331467329638,3.39656719
MgCl2-NaCl,Mg,cl3872,0.4683544303797468,1,0.4549599690082644,0.0004727985807367,3.39656719
MgCl2-NaCl,Mg,cl3872,0.4683544303797468,2,0.4694266528925619,0.000618309477373,3.39656719
MgCl2-NaCl,Mg,cl3872,0.4683544303797468,3+,0.0613248966942148,0.0005881367137501,3.39656719
MgCl2-NaCl,Mg,cl3808,0.5308641975308642,0,0.0292791491596638,0.0003506478012781,3.36630346
MgCl2-NaCl,Mg,cl3808,0.5308641975308642,1,0.5407352941176471,0.0016242379250591,3.36630346
