composition_key,n_para,n_water,n_ethanol,x_para,x_water,x_ethanol,S0_NN,S0_OO,S0_CC,S0_NO,S0_NC,S0_OC,S0_NN_split1,S0_OO_split1,S0_CC_split1,S0_NO_split1,S0_NC_split1,S0_OC_split1,S0_NN_split2,S0_OO_split2,S0_CC_split2,S0_NO_split2,S0_NC_split2,S0_OC_split2,S0_NN_split3,S0_OO_split3,S0_CC_split3,S0_NO_split3,S0_NC_split3,S0_OC_split3
P00288_W08000_E02000,288,8000,2000,0.027994,0.777605,0.194401,1.7141895752165313,4.91956105074723,0.7836146077591065,-2.146113801654069,0.03340094965273263,-1.2200311098525938,1.612225886922284,5.709740777102726,0.8199796581354915,-2.292270321518171,0.1383760086081264,-1.4457673426741715,1.948909230968216,5.074518742645213,0.7412661573717623,-2.3739191662219707,0.0251092888951222,-1.1711766976362614,1.5814336077590936,3.974423632493751,0.7895980077700655,-1.7721519172220654,-0.0632824485450507,-1.0431492892473484
P00584_W08000_E02000,584,8000,2000,0.055178,0.755858,0.188964,2.69447543534064,8.699168630177036,0.7896131818395288,-4.2790237428170625,-0.2625092528636459,-0.6697826287118102,2.4500033562734007,9.176091066524878,0.8491613960020862,-4.093278472883045,-0.0604053190065846,-1.1642893978757145,2.817723509388949,8.572588965171022,0.840641170878066,-4.47319609214423,-0.3662793076607493,-0.4613488385771088,2.8156994403595705,8.348825858835212,0.6790369786384342,-4.270596663423911,-0.3608431319236038,-0.383709649682607
P01360_W08000_E02000,1360,8000,2000,0.119718,0.704225,0.176056,1.5857562059910315,9.69285121000275,0.7456334111476082,-3.407950603968899,-0.42694473574809466,0.011475510481581066,1.6571366152326408,9.67228089144479,0.777263861147932,-3.5026019553572088,-0.5601851047697581,0.4198190421321861,1.5959767992178104,9.849013027718692,0.7032781228946599,-3.4990207672617712,-0.2924309269385814,-0.3195819796445992,1.504155203522644,9.557259710844768,0.7563582494002328,-3.222229089287717,-0.4282181755359444,-0.0658105310428437
P01904_W06752_E03248,1904,6752,3248,0.159946,0.567204,0.272849,0.9194497194797363,5.473490284720242,0.8933224975804652,-1.7839524414736088,-0.6207299418080314,0.5169511612348007,0.8535088354357269,5.154140588752268,0.6669402703667922,-1.6717351123209383,-0.4712874798974514,0.2857092541099308,0.925803818465164,5.7463580192991355,1.0297312461971009,-1.8132340456428893,-0.6922755759951079,0.7254491719667553,0.979036504538318,5.519972246109323,0.9832959761775024,-1.8668881664569987,-0.6986267695315349,0.5396950576277156
P01904_W06248_E03752,1904,6248,3752,0.159946,0.524866,0.315188,0.7330254337753983,3.1957847323807846,0.8272723195220042,-0.9941348254453385,-0.5804096193125641,0.18167579412128235,0.7447966668811858,3.1143623344942006,0.8846832037170207,-0.9245363659508204,-0.6007140465398686,0.1211019044263014,0.6710514590656271,3.440327251318884,0.6964210034858368,-1.0314062935909272,-0.4938500423375934,0.1292285231565926,0.783228175379382,3.0326646113292695,0.9007127513631549,-1.0264618167942676,-0.6466647690602303,0.2946969547809531
P01904_W05248_E04752,1904,5248,4752,0.159946,0.44086,0.399194,0.6937874489871119,2.564687544671434,0.673355353695077,-0.7894852132221816,-0.5453306339075957,0.22810085873713323,0.6456493201668912,2.5470391374516654,0.6430663010907889,-0.7221096366795865,-0.4983298544893792,0.1184442562751741,0.6908727264421928,2.7486110617013577,0.6510152768203352,-0.8306702481949372,-0.5302116007147911,0.2232691817003376,0.7448403003522513,2.398412434861279,0.7259844831741071,-0.815675754792021,-0.6074504465186168,0.342589138235888
P00088_W09248_E00752,88,9248,752,0.008723,0.916733,0.074544,1.8939886164597928,2.1895973160700906,1.0708533496560004,-1.5522504757672861,0.4215403783187847,-1.1973608961094093,1.8496235322442935,2.267500940292575,1.1273538413775424,-1.5772304695161952,0.5004798771760609,-1.2973346666417591,1.936689255391716,2.2538444892247123,1.0339852364576,-1.600871298516786,0.4144189614470541,-1.1702634568924637,1.895653061743369,2.047446518692985,1.0512209711328588,-1.4786496592688774,0.3497222963332392,-1.1244845647940052
P01904_W05752_E04248,1904,5752,4248,0.159946,0.483199,0.356855,0.9659385939255953,3.8946374568159947,0.8741199285022776,-1.3444660965233937,-0.7503273479062261,0.5528706753723974,0.9582435841001504,3.944354202947623,0.854103197234269,-1.3847802866916992,-0.7310035201312741,0.5536343321370447,0.9461462038733206,4.207885436769288,0.8255761435513733,-1.3701819112483735,-0.714280084434192,0.4834050593906537,0.9934259938033148,3.5316727307310725,0.9426804447211904,-1.278436091630108,-0.8056984391532124,0.6215726345894936
P00088_W00496_E09504,88,496,9504,0.008723,0.049167,0.942109,0.7833594201812151,1.020979423219739,0.07254559880812317,-0.03700067831985967,-0.14225366559273642,-0.0488919265024421,0.789987259237789,1.014498760133864,0.0738631567719214,-0.0013699687223415,-0.1451739305859868,-0.0579596112283034,0.7802311764199114,0.9764785614354704,0.0719167940595412,-0.0391145778321555,-0.1412391022366957,-0.0454151427168558,0.779859824885945,1.0719609480898822,0.0718568455929069,-0.070517488405082,-0.1403479639555267,-0.0433010255621671
P01480_W00248_E09752,1480,248,9752,0.12892,0.021603,0.849477,0.5881597839897027,0.8727825869421286,0.36215923025505486,-0.0285804918282849,-0.4114202488979204,-0.008142688115953433,0.5981863373124285,0.8733216403367945,0.3779069136034709,0.000747265935287,-0.4271725550364746,-0.0231635508780132,0.5911660060708066,0.8867405955890859,0.3598216329692799,-0.0443673136920402,-0.4085414552230156,0.0021821432150672,0.5751270085858731,0.8582855249005052,0.3487491441924139,-0.0421214277281015,-0.3985467364342709,-0.0034466566849143
