tag,x_MgCl2,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Mg,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_MgMg,S0_MgCl,S0_MgNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
cl3296,0.0618556701030927,0,0.015,0.1224744871391589,192,3296,2912,58.38460780332274,259,1,2,2015,411.0691923663928,0.8658079692282852,4,4,0.3,1,lowest-cost,,,7.831761430405489,5.039890539337075,0.6142398023605433,0.0921530088324222,-0.2174035089306432,0.0667936394812803,0.0237358632703007,0.1369005520410204,0.1102043419647935,-7.419489719910928e-18
cl3296,0.0618556701030927,1,0.015,0.1224744871391589,192,3296,2912,58.38158294569838,259,1,2,35,481.9248263333269,0.9551495014923947,4,4,1.0,1,lowest-cost,,,7.832370105323128,1.2481821105254964,0.5625236974872648,0.0880915123026733,-0.1951655666529728,0.0664110875978766,0.0254146610986597,0.1272662602786864,0.1098841459916678,3.913097453931868e-18
cl3296,0.0618556701030927,2,0.015,0.1224744871391589,192,3296,2912,58.38928531792577,259,1,2,554,491.6575310267012,0.9434290176664984,4,4,0.3,1,lowest-cost,,,7.83082035591076,11.217323183212333,0.4783883387438984,0.0735423770581762,-0.1674363570619059,0.0645516661576723,0.0309081819066147,0.1188703707054172,0.1107633923976177,-2.816036178167778e-18
cl3296,0.0618556701030927,3,0.015,0.1224744871391589,192,3296,2912,58.387832182381025,259,1,2,9837,451.13208080045615,0.9455086686605476,4,4,0.3,1,lowest-cost,,,7.831112693726158,10.204248890083582,0.1230035448000846,0.0419992797682871,-0.0184860530089656,0.06597119053432,0.0486174431735865,0.0612173136960262,0.1187090480752086,-4.480895923039046e-18
cl3296,0.0618556701030927,4,0.015,0.1224744871391589,192,3296,2912,58.37966280308538,259,1,2,42,464.8740920678972,0.9431774827546084,4,4,0.5,1,lowest-cost,,,7.832756525624477,5.036393910064998,0.6085348319172406,0.0881867934674346,-0.218693334998938,0.064728952043291,0.0235761171131781,0.1373929927557924,0.1077519077382185,4.673502618329108e-19
cl3360,0.1052631578947368,0,0.015,0.1224744871391589,320,3360,2720,58.379254921539875,259,1,2,36,355.01371742157096,0.782337686397166,4,4,1.0,1,lowest-cost,,,8.045533541677974,4.227105350659815,0.4728121051036473,0.0938830678080768,-0.2200012322367882,0.0711492217981455,0.0146746856564921,0.1672296014617342,0.1122107891877692,1.1534405858709868e-17
cl3360,0.1052631578947368,1,0.015,0.1224744871391589,320,3360,2720,58.3764895111863,259,1,2,2071,421.41412204744114,0.9295520249378884,4,4,0.5,1,lowest-cost,,,8.046105247824686,6.117702556499557,0.4346000821147537,0.0879328206703221,-0.2004013306726245,0.0690211310947168,0.0163912809397174,0.1556920689018388,0.1096873984402473,-1.7631493846121202e-17
cl3360,0.1052631578947368,2,0.015,0.1224744871391589,320,3360,2720,58.394850038636086,259,1,2,2010,451.0171023481022,0.9024349067144048,4,4,0.3,1,lowest-cost,,,8.042310757646856,8.06544380096417,0.3760617165850988,0.0752673963058349,-0.174321175370449,0.0681685290544847,0.024132076187261,0.1464046428714889,0.1131781489934315,-5.538322435522772e-17
cl3360,0.1052631578947368,3,0.015,0.1224744871391589,320,3360,2720,58.38228936707715,259,1,2,53,450.16787888793266,0.8943094714887901,4,4,0.3,1,lowest-cost,,,8.044906294535462,0.8044906294661934,0.4777501727509972,0.0988411974001825,-0.2178780657505262,0.0724742040822478,0.0127460722914749,0.1636295873560158,0.1120269201431975,2.094561213641864e-17
cl3360,0.1052631578947368,4,0.015,0.1224744871391589,320,3360,2720,58.36392080055984,259,1,2,211,453.4632124935453,0.8970594945967737,4,4,0.5,1,lowest-cost,,,8.048704489226902,4.444206867946418,0.4487071208956739,0.0876058471913031,-0.2104420901424831,0.0693586083636284,0.0169906679095513,0.1632461544445221,0.1113133556772855,-3.4141045774510696e-18
cl3424,0.1505376344086021,0,0.015,0.1224744871391589,448,3424,2528,58.37636020305407,259,1,2,69,249.9836546450568,0.6361016863574981,4,4,0.3,1,lowest-cost,,,8.25336243699846,7.5158624899073745,0.3289914646209646,0.0811439841156791,-0.1825552764776007,0.0725835467881438,0.0161544700998566,0.1725009224065788,0.1155462493751669,-2.31012758978788e-18
cl3424,0.1505376344086021,1,0.015,0.1224744871391589,448,3424,2528,58.37634030957153,259,1,2,501,401.95735623100825,0.828533489062994,4,4,1.0,1,lowest-cost,,,8.253366655868673,5.9911961055940965,0.2890009986394579,0.0697431370870962,-0.1621540613712306,0.069492548332322,0.0221559804011378,0.1623089075972846,0.1149573488600182,-1.7632867077459652e-17
cl3424,0.1505376344086021,2,0.015,0.1224744871391589,448,3424,2528,58.39158467868759,259,1,2,57,412.2061050628988,0.8643582082753986,4,4,0.75,1,lowest-cost,,,8.250134790619764,6.753348902079225,0.3382949444191149,0.0827016832633851,-0.1885753858533254,0.07330909324109,0.0156873738615382,0.1770258788243146,0.1165443784595397,-7.282594393813173e-18
cl3424,0.1505376344086021,3,0.015,0.1224744871391589,448,3424,2528,58.36470610714511,259,1,2,106,371.7284453523838,0.811510834594054,4,4,0.5,1,lowest-cost,,,8.255834571748492,5.967850652310794,0.3187866669329781,0.0807789789189491,-0.1743882555082124,0.071954468439131,0.0157296607311229,0.1651303983294662,0.1137682291290191,8.724613661245985e-18
cl3424,0.1505376344086021,4,0.015,0.1224744871391589,448,3424,2528,58.37248135860813,259,1,2,93,410.13751608332507,0.8442114786797822,4,4,0.3,1,lowest-cost,,,8.25418510309355,10.56668725237332,0.3343735384113376,0.0827951962042237,-0.185164972053919,0.0722462715092678,0.01437172979455,0.1726233729629866,0.1139230550263736,3.8035665516638855e-18
