mixture,central_cation,system,x_NaCl,criterion,cutoff_A,mean_cation_degree,n_cation_Cl,P_MD,P_MD_block_sd,P_random,delta_P,delta_P_block_sd
LiCl-NaCl,Li,li320,0.9,union,4.196943810509818,5.453980625,2,0.0727425,0.0006003034714313247,0.08463688610363815,-0.011894386103638147,0.000647902213056617
LiCl-NaCl,Li,li320,0.9,union,4.196943810509818,5.453980625,3+,0.009948125,0.00019842642685640444,0.012551753372989917,-0.002603628372989917,0.00020151018610817595
LiCl-NaCl,Li,li160,0.95,M-Cl,3.720512204310124,4.574726875,0,0.808325625,0.0010590186531938624,0.7915013600773632,0.01682426492263689,0.0010535242016679075
LiCl-NaCl,Li,li160,0.95,M-Cl,3.720512204310124,4.574726875,1,0.17596,0.001904910389952772,0.18923130096860544,-0.013271300968605432,0.001901125691428519
LiCl-NaCl,Li,li160,0.95,M-Cl,3.720512204310124,4.574726875,2,0.015055625,0.0008254065049643716,0.01832297864086791,-0.0032673536408679114,0.0008264116267083225
LiCl-NaCl,Li,li160,0.95,M-Cl,3.720512204310124,4.574726875,3+,0.00065875,4.200771878476624e-05,0.0009443603131633431,-0.0002856103131633431,4.246865889314093e-05
LiCl-NaCl,Li,li160,0.95,union,4.196943810509818,5.44214875,0,0.779233125,0.0012867139590833833,0.7571227298500022,0.022110395149997797,0.0012780340145975744
LiCl-NaCl,Li,li160,0.95,union,4.196943810509818,5.44214875,1,0.1982025,0.0023223264618292844,0.21544561768318873,-0.01724311768318873,0.0023227432679862846
LiCl-NaCl,Li,li160,0.95,union,4.196943810509818,5.44214875,2,0.02123125,0.0009803962249073073,0.02569981574519057,-0.00446856574519057,0.0009769003048476967
LiCl-NaCl,Li,li160,0.95,union,4.196943810509818,5.44214875,3+,0.001333125,0.00014636880857956037,0.0017318367216185237,-0.0003987117216185238,0.000148269091139574
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,M-Cl,3.36046144,2.2468096804511277,0,2.349624060150376e-06,2.349624060150376e-06,0.0004951497795801546,-0.0004928001555200043,3.46346637985112e-06
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,M-Cl,3.36046144,2.2468096804511277,1,0.030025845864661654,0.0003115888548679563,0.04370758947862852,-0.013681743613966863,0.00019323376468154986
