mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li2880,0.1,5.65,-0.01995149448614053,0.009242803746388775,0.0
LiCl-NaCl,Li,li2880,0.1,5.75,0.009600039074598277,0.007512843398232166,0.0
LiCl-NaCl,Li,li2880,0.1,5.8500000000000005,0.035401143613621455,0.005810588748480504,0.0
LiCl-NaCl,Li,li2880,0.1,5.95,0.05925439570248847,0.003837669446199266,0.0
LiCl-NaCl,Li,li2880,0.1,6.050000000000001,0.07772935393512215,0.0082322564330307,0.0
LiCl-NaCl,Li,li2880,0.1,6.15,0.08560469867201104,0.004949115730464675,0.0
LiCl-NaCl,Li,li2880,0.1,6.25,0.09720424638188707,0.0036931574327980312,0.0
LiCl-NaCl,Li,li2880,0.1,6.3500000000000005,0.0977617465039794,0.006114435848499009,0.0
LiCl-NaCl,Li,li2880,0.1,6.45,0.09187549978752674,0.008758744860018455,0.0
LiCl-NaCl,Li,li2880,0.1,6.550000000000001,0.08936792175882424,0.0018954793096550855,0.0
LiCl-NaCl,Li,li2880,0.1,6.65,0.08408845090826267,0.002893418964441615,0.0
LiCl-NaCl,Li,li2880,0.1,6.75,0.07664600481177797,0.0034088638586289104,0.0
LiCl-NaCl,Li,li2880,0.1,6.8500000000000005,0.065756985773323,0.005765283433963234,0.0
LiCl-NaCl,Li,li2880,0.1,6.95,0.05667513292360049,0.0066099763934487216,0.0
LiCl-NaCl,Li,li2880,0.1,7.050000000000001,0.04288434023451482,0.0044507055147289115,0.0
LiCl-NaCl,Li,li2880,0.1,7.15,0.03363987544956559,0.002471382543195156,0.0
LiCl-NaCl,Li,li2880,0.1,7.25,0.012798690815626457,0.005667338347314925,0.0
LiCl-NaCl,Li,li2880,0.1,7.3500000000000005,0.004150792075635068,0.0037384469794407233,0.0
LiCl-NaCl,Li,li2880,0.1,7.45,-0.0075027141368515515,0.0041427454079421885,0.0
LiCl-NaCl,Li,li2880,0.1,7.550000000000001,-0.01412570860038409,0.0034677365377058155,0.0
LiCl-NaCl,Li,li2880,0.1,7.65,-0.02674646732381336,0.00538207705159066,0.0
LiCl-NaCl,Li,li2880,0.1,7.75,-0.031067381146378636,0.004303959393440015,0.0
LiCl-NaCl,Li,li2880,0.1,7.8500000000000005,-0.03859721378429537,0.0019531656639604463,0.0
LiCl-NaCl,Li,li2880,0.1,7.95,-0.043097775072100886,0.006086370106860132,0.0
LiCl-NaCl,Li,li2880,0.1,8.05,-0.04838021116369995,0.0056775559726734955,0.0
LiCl-NaCl,Li,li2880,0.1,8.15,-0.047552325888168934,0.0018726417983308127,0.0
LiCl-NaCl,Li,li2880,0.1,8.25,-0.051524391666051716,0.0074724421060081035,0.0
LiCl-NaCl,Li,li2880,0.1,8.350000000000001,-0.051470406453995254,0.001701075398894164,0.0
LiCl-NaCl,Li,li2880,0.1,8.45,-0.04450319640492073,0.0036930876268532623,0.0
LiCl-NaCl,Li,li2880,0.1,8.55,-0.038789788463578834,0.0020525388999576896,0.0
LiCl-NaCl,Li,li2880,0.1,8.65,-0.03268844839621199,0.004376221634778983,0.0
LiCl-NaCl,Li,li2880,0.1,8.75,-0.025590483035341727,0.0061347728150159975,0.0
LiCl-NaCl,Li,li2880,0.1,8.850000000000001,-0.015713955890566123,0.0032752140952889107,0.0
LiCl-NaCl,Li,li2880,0.1,8.95,-0.014621689446148611,0.002625554484068906,0.0
LiCl-NaCl,Li,li2880,0.1,9.05,-0.0024510690260779455,0.006252914446574923,0.0
LiCl-NaCl,Li,li2880,0.1,9.15,0.004401020287791213,0.005190608828685233,0.0
LiCl-NaCl,Li,li2880,0.1,9.25,0.013262645657741157,0.00339053988523403,0.0
LiCl-NaCl,Li,li2880,0.1,9.350000000000001,0.017070130001945905,0.0035105692966829237,0.0
LiCl-NaCl,Li,li2880,0.1,9.45,0.02304968021814091,0.0034284671474394193,0.0
LiCl-NaCl,Li,li2880,0.1,9.55,0.0265323930450575,0.0034970117636009177,0.0
LiCl-NaCl,Li,li2880,0.1,9.650000000000002,0.031203882701707042,0.003972978268136454,0.0
LiCl-NaCl,Li,li2880,0.1,9.75,0.029496685553621504,0.003865426367016058,0.0
LiCl-NaCl,Li,li2880,0.1,9.850000000000001,0.030795105012413226,0.004779949344873469,0.0
LiCl-NaCl,Li,li2880,0.1,9.95,0.0301947715996993,0.0023219180958713643,0.0
LiCl-NaCl,Li,li2880,0.1,10.05,0.027355865480918506,0.0018345698853309248,0.0
LiCl-NaCl,Li,li2880,0.1,10.150000000000002,0.02419575306058408,0.0030266768441627625,0.0
LiCl-NaCl,Li,li2880,0.1,10.25,0.023444031660380005,0.005582228003819421,0.0
LiCl-NaCl,Li,li2880,0.1,10.350000000000001,0.01757596236586645,0.0040518070746242965,0.0
LiCl-NaCl,Li,li2880,0.1,10.45,0.012772978995981066,0.002514640335486198,0.0
LiCl-NaCl,Li,li2880,0.1,10.55,0.006483718022224583,0.004111498569331504,0.0
LiCl-NaCl,Li,li2880,0.1,10.650000000000002,0.0008256777664430448,0.001182097092751765,0.0
