tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
li480,0.15,0,0.015,0.1224744871391589,480,3200,2720,57.83415285511007,253,1,2,49,402.3159662526277,0.878228705641033,4,4,1.0,1,lowest-cost,,,7.608817783073333,4.137812541621275,0.8497064311160045,0.087136695846291,-0.2624350812149731,0.0590471531917709,0.0274408959394256,0.1400086158681486,0.1180943063835418,-1.0923541709916798e-17
li480,0.15,1,0.015,0.1224744871391589,480,3200,2720,57.82173780995633,253,1,2,40,450.3961101408969,0.9304015009584234,4,4,0.75,1,lowest-cost,,,7.61126847610969,3.9041327366374583,0.7698390332270331,0.0799152083985022,-0.2367168661177555,0.0584832616526197,0.0298629012057441,0.1318318381052422,0.1169665233052395,5.980510802041285e-18
li480,0.15,2,0.015,0.1224744871391589,480,3200,2720,57.837499710409894,253,1,2,589,445.0300369405537,0.9366342566703254,4,4,0.75,1,lowest-cost,,,7.608157348826219,5.359144816501606,0.7852975760477412,0.0789937968415957,-0.2442101641641306,0.0575260683794466,0.029211749606591,0.1342733798380815,0.1150521367588932,-1.2346382049965972e-17
li480,0.15,3,0.015,0.1224744871391589,480,3200,2720,57.83483959017603,253,1,2,206,465.7010461728977,0.9508120131647452,4,4,0.5,1,lowest-cost,,,7.608682261997078,3.928345304563118,0.7925810530068621,0.0863308327382256,-0.2393117037021915,0.0589436844167223,0.0276671985139226,0.1305403139716217,0.1178873688334446,1.3418542332131319e-17
li480,0.15,4,0.015,0.1224744871391589,480,3200,2720,57.843556480432206,253,1,2,40,469.3070217497022,0.95566184788377,4,4,0.5,1,lowest-cost,,,7.606962410551445,3.93747807451213,0.8367116701243532,0.08961451148835,-0.2542886213028688,0.0598304477019407,0.0272496073542751,0.1363789365953119,0.1196608954038814,-8.305729962317148e-18
li640,0.2,0,0.015,0.1224744871391589,640,3200,2560,57.64203885135636,238,1,2,199,377.4499664243143,0.8811187066134349,4,4,0.75,1,lowest-cost,,,7.6468883762459505,4.768950245132052,0.7917221983925979,0.093962844093421,-0.290807445820247,0.0607364999413559,0.0209240492454314,0.1687975211487924,0.1214729998827118,-2.1962881071746428e-17
li640,0.2,1,0.015,0.1224744871391589,640,3200,2560,57.6292494591519,238,1,2,34,357.311174230613,0.9540375077690448,4,4,0.3,1,lowest-cost,,,7.649434075209432,5.8880204901345214,0.7672729067508263,0.0882176059419921,-0.2850061715261213,0.0599695538764854,0.0229391965530826,0.1681498871840215,0.1199391077529708,2.4316039448842617e-18
li640,0.2,2,0.015,0.1224744871391589,640,3200,2560,57.64454794952201,238,1,2,962,436.1171599248695,0.934397311915209,4,4,0.5,1,lowest-cost,,,7.646389111731982,8.376694595974937,0.743172315596565,0.08959617546021,-0.2714145883717684,0.0602088171728808,0.0225174162916039,0.1608825309387281,0.1204176343457616,-5.4317516020190595e-18
li640,0.2,3,0.015,0.1224744871391589,640,3200,2560,57.64787157249,238,1,2,307,421.48948544769326,0.9315811561880996,4,4,0.3,1,lowest-cost,,,7.645727855362645,6.469244738174057,0.7314207019460421,0.0886498069431609,-0.2665968537144507,0.060201699208583,0.022982642424113,0.158993802238669,0.1204033984171661,1.0238697381062877e-17
li640,0.2,4,0.015,0.1224744871391589,640,3200,2560,57.645476973558914,238,1,2,93,437.34724850946145,0.9495471722918654,4,4,0.3,1,lowest-cost,,,7.6462042667701855,3.762443337644587,0.8760225766409651,0.1032009001030431,-0.3226291743356977,0.0607990803725855,0.0163749882897656,0.1796223806411884,0.121598160745171,1.9930084667677597e-17
li800,0.25,0,0.015,0.1224744871391589,800,3200,2400,57.4420915878288,238,1,2,39,399.5570630108115,0.909494189721517,4,4,1.0,1,lowest-cost,,,7.686849599571195,7.08350067084324,0.7773438821033325,0.103940250256277,-0.3287798366550705,0.0619748169167619,0.011552422994642,0.2031607162484241,0.1239496338335239,1.0650787903249079e-17
