system,solute_cation,tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ,x_MgCl2,n_Mg,S0_MgMg,S0_MgCl,S0_MgNa
MgCl2-NaCl,Mg,cl3264,,0,0.02,0.1414213562373095,,3264,3008,58.39218195969234,367,1,2,40,498.74208609267447,0.8399444892923829,4,4,0.3,1,lowest-cost,,,7.721730287848875,4.7130040058488065,,,,0.0627806399043117,0.0281636653485454,0.112028018907665,0.1058871202950072,-1.4981490210817258e-17,0.0408163265306122,128,0.7136737940865386,0.0902491290762029,-0.2004282160449687
MgCl2-NaCl,Mg,cl3264,,1,0.02,0.1414213562373095,,3264,3008,58.408524704242915,367,1,2,44,640.2081752454918,0.9143963881679328,4,4,1.0,1,lowest-cost,,,7.718489696552487,4.676109381756173,,,,0.0627749905473631,0.0265859165901952,0.1110563659267909,0.1046077894665508,-2.0298039964499164e-17,0.0408163265306122,128,0.7272406342751065,0.0940590755870614,-0.2020567050971909
MgCl2-NaCl,Mg,cl3264,,2,0.02,0.1414213562373095,,3264,3008,58.38680709037884,367,1,2,49,601.8293118053107,0.9248054945598624,4,4,0.3,1,lowest-cost,,,7.722796562450554,4.793837448392835,,,,0.0631338290572908,0.0307446893526658,0.1076959937290819,0.1076788636551185,-2.071602288707967e-18,0.0408163265306122,128,0.6588835309200822,0.0848848989367338,-0.1834113142760389
MgCl2-NaCl,Mg,cl3264,,3,0.02,0.1414213562373095,,3264,3008,58.38351322818848,367,1,2,47,589.0284026611837,0.9144159628634336,4,4,1.0,1,lowest-cost,,,7.723450125031239,5.161496607027781,,,,0.0617191855657304,0.0301442617207956,0.1092209716238433,0.1057937986037513,-7.852902994375752e-19,0.0408163265306122,128,0.6661735329170447,0.0827684396729015,-0.1886236220460594
MgCl2-NaCl,Mg,cl3264,,4,0.02,0.1414213562373095,,3264,3008,58.3896635490812,367,1,2,39,646.5655676886465,0.9189258967401208,4,4,1.0,1,lowest-cost,,,7.722229863355826,4.944569363162595,,,,0.0623665281315334,0.0281976894959903,0.11321339112037,0.105576195179315,-7.299371710501703e-18,0.0408163265306122,128,0.7175814448084181,0.0891210790155337,-0.2032154617832184
MgCl2-NaCl,Mg,cl3296,,0,0.02,0.1414213562373095,,3296,2912,58.38460780332274,367,1,2,41,646.5815923985482,0.9118335742078958,4,4,1.0,1,lowest-cost,,,7.831761430405489,1.6836755238334522,,,,0.0680290648474345,0.0239344120292085,0.1366158549890641,0.1117476744446974,2.758708949163345e-17,0.0618556701030927,192,0.6168604973845909,0.094325739635659,-0.2164378207455085
MgCl2-NaCl,Mg,cl3296,,1,0.02,0.1414213562373095,,3296,2912,58.38158294569838,367,1,2,43,626.3357972614733,0.9083639733300664,4,4,1.0,1,lowest-cost,,,7.832370105323128,5.9314309158557315,,,,0.0651918453529861,0.0227848628616096,0.129922267054264,0.1068639551297875,1.4345185008396373e-17,0.0618556701030927,192,0.588578638336292,0.0906864851952675,-0.2057853757629517
MgCl2-NaCl,Mg,cl3296,,2,0.02,0.1414213562373095,,3296,2912,58.38928531792577,367,1,2,2379,650.4090992368035,0.9088612064026348,4,4,0.5,1,lowest-cost,,,7.83082035591076,4.391771871601937,,,,0.0661713898828311,0.0238967679039553,0.1337694472785943,0.1092439810427939,-2.5547291910470725e-17,0.0618556701030927,192,0.5983990537548955,0.0905506187629108,-0.2109732228805976
MgCl2-NaCl,Mg,cl3296,,3,0.02,0.1414213562373095,,3296,2912,58.387832182381025,367,1,2,10767,623.596026784901,0.9284262194134364,4,4,0.75,1,lowest-cost,,,7.831112693726158,5.324113915147985,,,,0.0674926168838798,0.021131305205494,0.1306764434644243,0.1084151020616991,-1.1809478705308168e-17,0.0618556701030927,192,0.6146530311134251,0.0986726822385656,-0.2106794892907882
MgCl2-NaCl,Mg,cl3296,,4,0.02,0.1414213562373095,,3296,2912,58.37966280308538,367,1,2,44,629.3132695229541,0.9159955669417656,4,4,0.3,1,lowest-cost,,,7.832756525624477,6.236836529205907,,,,0.0651855740270732,0.0201756023096943,0.1361664843968115,0.1056723658274312,1.3496175464283789e-17,0.0618556701030927,192,0.6332788493882909,0.0957542982649721,-0.2233496745546109
