system,x_NaCl,distribution,value,probability,block_sd
cl3552,0.7528089887640449,n_Mg(Cl),1,0.6489118806306307,0.0016424460635725098
cl3552,0.7528089887640449,n_Mg(Cl),2,0.11476632882882883,0.0008600402383300715
cl3552,0.7528089887640449,n_Mg(Cl),3+,0.0034389076576576577,0.00023063687840152629
cl3488,0.8021978021978022,Mg-Cl CN,0,0.0,0.0
cl3488,0.8021978021978022,Mg-Cl CN,1,0.0,0.0
cl3488,0.8021978021978022,Mg-Cl CN,2,0.0,0.0
cl3488,0.8021978021978022,Mg-Cl CN,3,0.006085069444444444,0.0004648354422045238
cl3488,0.8021978021978022,Mg-Cl CN,4,0.5354427083333333,0.0032390513381365216
cl3488,0.8021978021978022,Mg-Cl CN,5,0.3951909722222222,0.0037081317569017426
cl3488,0.8021978021978022,Mg-Cl CN,6,0.063046875,0.0017786138475921203
cl3488,0.8021978021978022,Mg-Cl CN,7,0.00022569444444444443,7.131804134181852e-05
cl3488,0.8021978021978022,Mg-Cl CN,8,8.680555555555556e-06,1.9410312304685675e-05
cl3488,0.8021978021978022,Mg-Cl CN,9+,0.0,0.0
cl3488,0.8021978021978022,n_Mg(Cl),0,0.3310192087155963,0.0007532693983405259
cl3488,0.8021978021978022,n_Mg(Cl),1,0.5938302752293578,0.0015344280029071624
cl3488,0.8021978021978022,n_Mg(Cl),2,0.07353784403669725,0.0008612705749896782
cl3488,0.8021978021978022,n_Mg(Cl),3+,0.001612672018348624,0.00011928982925095497
cl3424,0.8494623655913979,Mg-Cl CN,0,0.0,0.0
cl3424,0.8494623655913979,Mg-Cl CN,1,0.0,0.0
cl3424,0.8494623655913979,Mg-Cl CN,2,0.0,0.0
cl3424,0.8494623655913979,Mg-Cl CN,3,0.006495535714285714,0.000336213623468573
cl3424,0.8494623655913979,Mg-Cl CN,4,0.5634933035714286,0.003371016108149437
cl3424,0.8494623655913979,Mg-Cl CN,5,0.37800223214285716,0.004058036328186352
cl3424,0.8494623655913979,Mg-Cl CN,6,0.05185267857142857,0.0018293871286368553
cl3424,0.8494623655913979,Mg-Cl CN,7,0.00015625,7.275895541520813e-05
cl3424,0.8494623655913979,Mg-Cl CN,8,0.0,0.0
cl3424,0.8494623655913979,Mg-Cl CN,9+,0.0,0.0
cl3424,0.8494623655913979,n_Mg(Cl),0,0.4545852803738318,0.0004510056490137316
cl3424,0.8494623655913979,n_Mg(Cl),1,0.5056980140186916,0.0011836898859496762
cl3424,0.8494623655913979,n_Mg(Cl),2,0.03924795560747663,0.000728762573036415
cl3424,0.8494623655913979,n_Mg(Cl),3+,0.00046875,5.173186210256527e-05
cl3360,0.8947368421052632,Mg-Cl CN,0,0.0,0.0
cl3360,0.8947368421052632,Mg-Cl CN,1,0.0,0.0
cl3360,0.8947368421052632,Mg-Cl CN,2,0.0,0.0
cl3360,0.8947368421052632,Mg-Cl CN,3,0.0040625,0.0004453810254293508
cl3360,0.8947368421052632,Mg-Cl CN,4,0.535203125,0.0007686483672655836
cl3360,0.8947368421052632,Mg-Cl CN,5,0.398640625,0.003925188465817594
cl3360,0.8947368421052632,Mg-Cl CN,6,0.06196875,0.0035249009571635464
cl3360,0.8947368421052632,Mg-Cl CN,7,0.000125,6.987712429686842e-05
cl3360,0.8947368421052632,Mg-Cl CN,8,0.0,0.0
cl3360,0.8947368421052632,Mg-Cl CN,9+,0.0,0.0
cl3360,0.8947368421052632,n_Mg(Cl),0,0.5895565476190476,0.001059263569899319
cl3360,0.8947368421052632,n_Mg(Cl),1,0.3906934523809524,0.0018541526336127284
cl3360,0.8947368421052632,n_Mg(Cl),2,0.019572916666666666,0.000818462526993389
cl3360,0.8947368421052632,n_Mg(Cl),3+,0.00017708333333333335,3.466016279420272e-05
cl3296,0.9381443298969072,Mg-Cl CN,0,0.0,0.0
cl3296,0.9381443298969072,Mg-Cl CN,1,0.0,0.0
cl3296,0.9381443298969072,Mg-Cl CN,2,0.0,0.0
cl3296,0.9381443298969072,Mg-Cl CN,3,0.0046875,0.0008286407592029853
cl3296,0.9381443298969072,Mg-Cl CN,4,0.5385416666666667,0.0047637390963351095
cl3296,0.9381443298969072,Mg-Cl CN,5,0.39911458333333333,0.006509374916653326
cl3296,0.9381443298969072,Mg-Cl CN,6,0.057526041666666666,0.0027365442784054515
cl3296,0.9381443298969072,Mg-Cl CN,7,0.00013020833333333333,0.00013020833333333333
cl3296,0.9381443298969072,Mg-Cl CN,8,0.0,0.0
cl3296,0.9381443298969072,Mg-Cl CN,9+,0.0,0.0
cl3296,0.9381443298969072,n_Mg(Cl),0,0.7437105582524272,0.000639060856324678
cl3296,0.9381443298969072,n_Mg(Cl),1,0.2498877427184466,0.0012954777343090504
cl3296,0.9381443298969072,n_Mg(Cl),2,0.006381978155339806,0.0006625575578191651
cl3296,0.9381443298969072,n_Mg(Cl),3+,1.9720873786407766e-05,1.6617796040812075e-05
cl3264,0.9591836734693877,Mg-Cl CN,0,0.0,0.0
cl3264,0.9591836734693877,Mg-Cl CN,1,0.0,0.0
cl3264,0.9591836734693877,Mg-Cl CN,2,0.0,0.0
cl3264,0.9591836734693877,Mg-Cl CN,3,0.0034375,0.0006709204702077215
cl3264,0.9591836734693877,Mg-Cl CN,4,0.5133203125,0.012426848945208575
cl3264,0.9591836734693877,Mg-Cl CN,5,0.4175390625,0.012552076579787257
cl3264,0.9591836734693877,Mg-Cl CN,6,0.065625,0.0012807497117777347
cl3264,0.9591836734693877,Mg-Cl CN,7,7.8125e-05,0.00010697706201272776
cl3264,0.9591836734693877,Mg-Cl CN,8,0.0,0.0
cl3264,0.9591836734693877,Mg-Cl CN,9+,0.0,0.0
cl3264,0.9591836734693877,n_Mg(Cl),0,0.8244653799019608,0.0005970679464066741
cl3264,0.9591836734693877,n_Mg(Cl),1,0.1728170955882353,0.0008228862398653541
cl3264,0.9591836734693877,n_Mg(Cl),2,0.0027113970588235293,0.0002794862483229004
cl3264,0.9591836734693877,n_Mg(Cl),3+,6.127450980392157e-06,6.4082416248014364e-06
cl3232,0.9797979797979798,Mg-Cl CN,0,0.0,0.0
cl3232,0.9797979797979798,Mg-Cl CN,1,0.0,0.0
cl3232,0.9797979797979798,Mg-Cl CN,2,0.0,0.0
cl3232,0.9797979797979798,Mg-Cl CN,3,0.003046875,0.0008907620508587016
cl3232,0.9797979797979798,Mg-Cl CN,4,0.5153125,0.007631696918219603
cl3232,0.9797979797979798,Mg-Cl CN,5,0.41734375,0.011136581050753413
cl3232,0.9797979797979798,Mg-Cl CN,6,0.064140625,0.006863226780162338
cl3232,0.9797979797979798,Mg-Cl CN,7,0.00015625,0.00021395412402545552
cl3232,0.9797979797979798,Mg-Cl CN,8,0.0,0.0
cl3232,0.9797979797979798,Mg-Cl CN,9+,0.0,0.0
cl3232,0.9797979797979798,n_Mg(Cl),0,0.9107224628712871,0.00021235765171884218
cl3232,0.9797979797979798,n_Mg(Cl),1,0.08859375,0.00027903415846480925
cl3232,0.9797979797979798,n_Mg(Cl),2,0.0006837871287128712,0.0001185271120629824
cl3232,0.9797979797979798,n_Mg(Cl),3+,0.0,0.0
