algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_I,n_X,x_O,x_Na,x_Cl,x_I,x_X,x_I_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OI,S0_NaNa,S0_NaCl,S0_NaI,S0_ClCl,S0_ClI,S0_II
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28480-Na1760-Cl160-I1600-2-allSk.dat,2,main,28480,1760,160,1600,3520,0.89,0.055,0.005,0.05,0.11,0.9090909090909091,238,0.7125912686444744,1,0.5888069257011409,0.5888069257011409,0.09719295549088075,-0.08196223011750153,0.03418200311407671,-0.09677201064573882,0.16783741177340966,0.10779744326834621,0.1419408178548533,0.8973495795458489,-0.17070794056597116,0.2028513763691902
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28480-Na1760-Cl160-I1600-2-allSk.dat,2,main,28480,1760,160,1600,3520,0.89,0.055,0.005,0.05,0.11,0.9090909090909091,473,0.5869864252930526,1,0.5888069257011409,0.5888069257011409,0.10071204455704796,-0.08704033877480488,0.039278256352876996,-0.10370955271424986,0.1764342897110942,0.09914863721709638,0.15369229211883528,0.9428934379687576,-0.1941811174834931,0.2225992968542443
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28160-Na1920-Cl1600-I320-2-allSk.dat,2,main,28160,1920,1600,320,3840,0.88,0.06,0.05,0.01,0.12,0.16666666666666666,86,0.9325934510066244,1,0.6162767600248704,0.6162767600248704,0.06964817621603078,-0.036859145181485975,0.0034670221715877355,-0.09803859530497502,0.20262039732028758,0.2330546594504397,-0.02480947608955035,0.4247782396327959,-0.3789680213499482,0.7866276998318976
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28160-Na1920-Cl1600-I320-2-allSk.dat,2,main,28160,1920,1600,320,3840,0.88,0.06,0.05,0.01,0.12,0.16666666666666666,228,0.8133744332720227,1,0.6162767600248704,0.6162767600248704,0.07433258139469945,-0.05004995147037905,-0.006074340073964769,-0.10901420542965296,0.21135292526058683,0.23310855220398258,-0.0035397463316364924,0.41073596871646345,-0.34743653927554696,0.7682211473560006
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28160-Na1920-Cl1600-I320-2-allSk.dat,2,main,28160,1920,1600,320,3840,0.88,0.06,0.05,0.01,0.12,0.16666666666666666,467,0.6455213043325141,1,0.6162767600248704,0.6162767600248704,0.07371315468449355,-0.05603879585040744,-0.011721129533353969,-0.11105721322383369,0.21019780741651117,0.2218568728702233,0.018790324208909526,0.39275083648541764,-0.3347814341397348,0.7946207507546101
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28160-Na1920-Cl1280-I640-2-allSk.dat,2,main,28160,1920,1280,640,3840,0.88,0.06,0.04,0.02,0.12,0.3333333333333333,86,0.9599405103637867,1,0.6162767600248704,0.6162767600248704,0.08724958721383864,-0.05239234095870794,0.037049078141609,-0.14314150524923808,0.18061046175885317,0.1947712505364899,0.03737835207573753,0.5175886349748348,-0.39462716552866134,0.6228282944698602
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28160-Na1920-Cl1280-I640-2-allSk.dat,2,main,28160,1920,1280,640,3840,0.88,0.06,0.04,0.02,0.12,0.3333333333333333,228,0.8305959390519547,1,0.6162767600248704,0.6162767600248704,0.09370706831612532,-0.05910380022842481,0.036442977811759904,-0.15390893839068548,0.1952400615826675,0.20018836864435124,0.05505660036787016,0.5386205647083656,-0.4149880820072812,0.6822426029270618
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28160-Na1920-Cl1280-I640-2-allSk.dat,2,main,28160,1920,1280,640,3840,0.88,0.06,0.04,0.02,0.12,0.3333333333333333,467,0.6360341284925478,1,0.6162767600248704,0.6162767600248704,0.0924489992849454,-0.061312117068188454,0.028224211729498905,-0.1461107648968606,0.20283598598280417,0.21324311367531665,0.04975092988324492,0.5499571478578561,-0.4084089499747716,0.6637486143304541
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28160-Na1920-Cl960-I960-2-allSk.dat,2,main,28160,1920,960,960,3840,0.88,0.06,0.03,0.03,0.12,0.5,89,0.9705663482322299,1,0.6162767600248704,0.6162767600248704,0.0902255522993585,-0.055059420239385815,0.0478991363234008,-0.12576491516233992,0.17057974487031607,0.17836903463464865,0.06286715402709475,0.6157602938582333,-0.3635083859705169,0.45241596782343263
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28160-Na1920-Cl960-I960-2-allSk.dat,2,main,28160,1920,960,960,3840,0.88,0.06,0.03,0.03,0.12,0.5,229,0.8735342878822216,1,0.6162767600248704,0.6162767600248704,0.09649573694526233,-0.0599448139364224,0.05659487926058266,-0.14136964812340294,0.1877529578848296,0.19377546171657187,0.0717473176998187,0.6571907300886118,-0.3831508440739274,0.4846168738289022
