algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30080-Na960-Cl800-F160-1-allSk.dat,1,main,30080,960,800,160,1920,0.94,0.03,0.025,0.005,0.06,0.16666666666666666,467,0.6679681228696018,1,0.42938301201054485,0.42938301201054485,0.06400514728692326,-0.03880456336205057,-0.07304160606220816,0.06827461641233518,0.38982348109940146,0.315551866991045,0.24927319343006682,0.4226211698659572,-0.17206860304011862,0.995349223648888
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30080-Na960-Cl640-F320-1-allSk.dat,1,main,30080,960,640,320,1920,0.94,0.03,0.02,0.01,0.06,0.3333333333333333,86,0.9425033650876795,1,0.42938301201054485,0.42938301201054485,0.06470954393960922,-0.023490346651622748,-0.08390398626929618,0.07797168143118857,0.3912446652712298,0.297290990847444,0.2572226872122578,0.5282455659440688,-0.232128942841286,0.7738026622965032
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30080-Na960-Cl640-F320-1-allSk.dat,1,main,30080,960,640,320,1920,0.94,0.03,0.02,0.01,0.06,0.3333333333333333,228,0.8262231762062919,1,0.42938301201054485,0.42938301201054485,0.06689831390752148,-0.01922032424222425,-0.08934690891324554,0.09306503221574527,0.4109390526848266,0.2752819637137089,0.32245983150371843,0.5226695579049031,-0.26236402986918816,0.9295555808844052
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30080-Na960-Cl640-F320-1-allSk.dat,1,main,30080,960,640,320,1920,0.94,0.03,0.02,0.01,0.06,0.3333333333333333,467,0.6944174933256069,1,0.42938301201054485,0.42938301201054485,0.06649356775889481,-0.02089268858643098,-0.08875716622547286,0.08933439009545396,0.42305808617063156,0.28163701490442544,0.33446321365627407,0.5238214068027892,-0.2529857186553608,0.9370831137245467
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30080-Na960-Cl480-F480-1-allSk.dat,1,main,30080,960,480,480,1920,0.94,0.03,0.015,0.015,0.06,0.5,86,0.9611199702629755,1,0.42938301201054485,0.42938301201054485,0.06809853381845522,0.002982741776490508,-0.09633596248507978,0.10055419635844949,0.39918937382797703,0.1862374915346558,0.3783015348880929,0.5984029372222144,-0.33502335087155966,0.8700225121768591
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30080-Na960-Cl480-F480-1-allSk.dat,1,main,30080,960,480,480,1920,0.94,0.03,0.015,0.015,0.06,0.5,228,0.8609684861835669,1,0.42938301201054485,0.42938301201054485,0.06708091258327188,0.0019298057774101568,-0.09513512652345739,0.09786428402661679,0.4702733460224362,0.22014923603778017,0.4449177079297246,0.602007558543226,-0.2906695231925215,0.9198781798866896
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30080-Na960-Cl480-F480-1-allSk.dat,1,main,30080,960,480,480,1920,0.94,0.03,0.015,0.015,0.06,0.5,461,0.751528871885188,1,0.42938301201054485,0.42938301201054485,0.06660718079926523,0.0014675650964782183,-0.09298847467602445,0.09506392513912927,0.47890619869988194,0.22476021522713058,0.45251542607878675,0.5975744334142834,-0.27971548875817936,0.9196689415018393
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30080-Na960-Cl320-F640-1-allSk.dat,1,main,30080,960,320,640,1920,0.94,0.03,0.01,0.02,0.06,0.6666666666666666,86,0.9720872429832992,1,0.42938301201054485,0.42938301201054485,0.06118581801450485,0.02655184695047665,-0.0692918355159759,0.08151596515278009,0.6823843624096707,0.24389613921290282,0.6632861342364017,0.6053532088280098,-0.12933881332211022,0.9038126431418713
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30080-Na960-Cl320-F640-1-allSk.dat,1,main,30080,960,320,640,1920,0.94,0.03,0.01,0.02,0.06,0.6666666666666666,228,0.9067390042879779,1,0.42938301201054485,0.42938301201054485,0.062267723575367015,0.02482002616524885,-0.08020429015947718,0.08711119720571342,0.6144509206143882,0.2003456158634644,0.6108798701862617,0.6476077275166523,-0.21255555014126737,0.898471458930711
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30080-Na960-Cl320-F640-1-allSk.dat,1,main,30080,960,320,640,1920,0.94,0.03,0.01,0.02,0.06,0.6666666666666666,461,0.8175031874295188,1,0.42938301201054485,0.42938301201054485,0.06360191150713401,0.022915017771651433,-0.08787109716520998,0.09019929916949918,0.5771778683067965,0.18268921526025794,0.5777148511293015,0.6845466942674856,-0.26029993010681834,0.8916131467682831
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30080-Na960-Cl160-F800-1-allSk.dat,1,main,30080,960,160,800,1920,0.94,0.03,0.005,0.025,0.06,0.8333333333333334,86,0.9761949829415859,1,0.42938301201054485,0.42938301201054485,0.06334584433556043,0.043419664152322984,-0.08743016310078697,0.08666381658650214,0.5304436626042567,0.07071955961315657,0.5494451704612486,0.7844026442979309,-0.27332613076223794,0.7241221896300661
