algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF,S0_OO_std_split1_to3,S0_OO_se_split1_to3,S0_OO_uncertainty_n_splits,S0_ONa_std_split1_to3,S0_ONa_se_split1_to3,S0_ONa_uncertainty_n_splits,S0_OCl_std_split1_to3,S0_OCl_se_split1_to3,S0_OCl_uncertainty_n_splits,S0_OF_std_split1_to3,S0_OF_se_split1_to3,S0_OF_uncertainty_n_splits,S0_NaNa_std_split1_to3,S0_NaNa_se_split1_to3,S0_NaNa_uncertainty_n_splits,S0_NaCl_std_split1_to3,S0_NaCl_se_split1_to3,S0_NaCl_uncertainty_n_splits,S0_NaF_std_split1_to3,S0_NaF_se_split1_to3,S0_NaF_uncertainty_n_splits,S0_ClCl_std_split1_to3,S0_ClCl_se_split1_to3,S0_ClCl_uncertainty_n_splits,S0_ClF_std_split1_to3,S0_ClF_se_split1_to3,S0_ClF_uncertainty_n_splits,S0_FF_std_split1_to3,S0_FF_se_split1_to3,S0_FF_uncertainty_n_splits
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31360-Na320-Cl160-F160-allSk.dat,0,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,228,0.7437183830122466,1,0.2445270316186424,0.2445270316186424,0.0639273092651909,0.0066751610621688,-0.0546073011149516,0.0640474044200957,0.5337562529302843,0.3408999866821965,0.4139453452132557,0.7183255097333612,-0.2362201251545914,0.8216272464363904,0.0001682958405021069,9.716564881738575e-05,3,0.0030995916686941314,0.0017895500842984781,3,0.002782291113825948,0.0016063565235313148,3,0.0036620178406267957,0.002114266986063093,3,0.014974991207861764,0.008645815204971269,3,0.015484393672346514,0.008939918854967399,3,0.02936228220620186,0.016952321535772405,3,0.010159527679689431,0.0058656060407081476,3,0.01991137226312489,0.011495836136050003,3,0.051389280849732086,0.0296696151320541,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31360-Na320-Cl160-F160-allSk.dat,0,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,467,0.6754730767759345,1,0.2445270316186424,0.2445270316186424,0.063324033053267,0.0053911229159747,-0.05526979450811,0.0628939936523019,0.5387065013567593,0.3379694739059115,0.4238765664513778,0.7149193158886539,-0.236958302222814,0.8364102912704929,0.00030496093791732866,0.00017606927959889045,3,0.001481979544276158,0.0008556212888213589,3,0.00044348789481356125,0.00025604785545295004,3,0.001743476684502984,0.001006596733123634,3,0.009423904114470088,0.005440893577306528,3,0.004389598734852202,0.00253433601120136,3,0.016937089102985747,0.0097786329528975,3,0.004440660924712623,0.0025638167802626856,3,0.002401524820831577,0.001386521001772679,3,0.02634815885118555,0.015212116605382998,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31296-Na352-Cl320-F32-allSk.dat,0,main,31296,352,320,32,704,0.978,0.011,0.01,0.001,0.022,0.0909090909090909,89,0.8269167587492168,1,0.2551535003183825,0.2551535003183825,0.0608905547213607,-0.025390401867634,-0.0393414055368471,0.0401980115775152,0.419588916449202,0.3955745244708587,0.1407025203878574,0.4656930205047863,-0.1606783609455219,0.9747670584743496,0.0005457651518114779,0.00031509765731267377,3,0.002091387686239125,0.0012074632436300276,3,0.003217444293217813,0.0018575923287919298,3,0.0032923806905350446,0.0019008568779551342,3,0.026844636857425885,0.015498758315932585,3,0.02228359752895549,0.012865441031855732,3,0.03956402096446306,0.022842298154056747,3,0.028628200656580925,0.016528499355491617,3,0.02997410170034639,0.01730555568541221,3,0.08284003283278799,0.04782771525568758,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31296-Na352-Cl320-F32-allSk.dat,0,main,31296,352,320,32,704,0.978,0.011,0.01,0.001,0.022,0.0909090909090909,229,0.7660656596568693,1,0.2551535003183825,0.2551535003183825,0.061081982150437,-0.0279098026446887,-0.0414411037144964,0.0384819331437716,0.4577505661435137,0.4257721550696658,0.1717771011722455,0.4880125806260784,-0.1311047970478708,0.9843099630086484,0.0003808723946290347,0.00021989677956597058,3,0.00046238966946739857,0.00026696080013750465,3,0.0002170537373981548,0.00012531603371543901,3,0.0012640435912612711,0.0007297959076821162,3,0.01584579479038348,0.009148573887751473,3,0.004951841178127515,0.0028589468371761945,3,0.03928833643634697,0.02268313161753751,3,0.00509536461016145,0.0029418101292960058,3,0.026317453868655367,0.015194389075453734,3,0.04723709087876504,0.027272347134589814,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31296-Na352-Cl320-F32-allSk.dat,0,main,31296,352,320,32,704,0.978,0.011,0.01,0.001,0.022,0.0909090909090909,467,0.7390116138814731,1,0.2551535003183825,0.2551535003183825,0.0608388740832944,-0.0306566351706172,-0.0429748842539431,0.0342219602288158,0.4690120185160642,0.4380209730212455,0.1703929499147026,0.497812745548715,-0.1214709063779299,0.9492542153882214,0.00021896381579485465,0.00012641881799194696,3,0.0007180845160176062,0.00041458628862366706,3,0.0007735524334028978,0.00044661070565745316,3,0.0006328772394806572,0.0003653918445781447,3,0.014987472440014606,0.008653021247714532,3,0.01088193625276056,0.006282688824835658,3,0.015931455555990973,0.009198030153833947,3,0.008987696811723645,0.005189049173643388,3,0.011731274838803176,0.006773054686120498,3,0.023135176478097593,0.013357100367379145,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31296-Na352-Cl32-F320-allSk.dat,0,main,31296,352,32,320,704,0.978,0.011,0.001,0.01,0.022,0.9090909090909092,86,0.9194378128321564,1,0.2551535003183825,0.2551535003183825,0.0625409936908436,0.0517078183437398,-0.0360513176195203,0.0656320450312736,0.6604052045149454,0.1094460892952044,0.6580289295557915,0.8824420432594559,-0.1642646491288406,0.7420916066996004,0.00043880537469357566,0.0002533444012011905,3,0.0016037746959373718,0.0009259397524189519,3,0.009418127454086163,0.005437558420878851,3,0.0015769087839375374,0.0009104287108938227,3,0.06211308753555318,0.03586100780885042,3,0.06659816527866445,0.03845046865117211,3,0.04438612663548221,0.025626342161280475,3,0.056314806315600596,0.03251336858567364,3,0.08747206630756797,0.05050202102924717,3,0.019881373544243252,0.011478516367628346,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31296-Na352-Cl32-F320-allSk.dat,0,main,31296,352,32,320,704,0.978,0.011,0.001,0.01,0.022,0.9090909090909092,228,0.8494279760601271,1,0.2551535003183825,0.2551535003183825,0.0620150261881277,0.0503642637873268,-0.0368888800728359,0.0644877736280199,0.6427969800212318,0.1225179121439928,0.6354275945689779,0.9170485620417468,-0.1614983477874621,0.7175123452916592,0.0001727650895728936,9.974597097147994e-05,3,0.0020233022972022366,0.0011681541259416996,3,0.0023958355921664147,0.001383236324071366,3,0.001427695999704085,0.0008242806697501054,3,0.03014932462953281,0.017406720690746183,3,0.015386634513599846,0.008883477578349258,3,0.028391510014060796,0.016391845949317956,3,0.011347085463715639,0.006551242846993914,3,0.012759540868513847,0.0073667243551725015,3,0.027195126795336755,0.01570111377593368,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31296-Na352-Cl32-F320-allSk.dat,0,main,31296,352,32,320,704,0.978,0.011,0.001,0.01,0.022,0.9090909090909092,467,0.752296456515768,1,0.2551535003183825,0.2551535003183825,0.0608360376940185,0.0448542747978376,-0.0375856534417294,0.0589291875083887,0.6209880694058305,0.1289786545650951,0.6105111500039577,0.9313576621418505,-0.1592471987288289,0.6906678819291426,0.00018245633676310154,0.0001053412151455297,3,0.0011524925217642628,0.0006653918676796278,3,0.0015926767915711237,0.0009195323743456578,3,0.0007187408172936226,0.00041496520434204464,3,0.02041594422086385,0.011787150891676128,3,0.00904104776719593,0.005219851362146835,3,0.01884487244895919,0.010880092181250751,3,0.0057618549137471685,0.003326608485483496,3,0.0084996132477972,0.004907253996623424,3,0.017716111846118272,0.010228401943349903,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31040-Na480-Cl320-F160-allSk.dat,0,main,31040,480,320,160,960,0.97,0.015,0.01,0.005,0.03,0.3333333333333333,86,0.8632005321604643,1,0.2998682691886077,0.2998682691886077,0.0661174581613625,-0.0101528303410941,-0.0704013824437481,0.0819773718703616,0.5054294389687684,0.3630182590518275,0.3620441225947759,0.6337877418936622,-0.2675451514988701,1.0054447967127136,0.0023902040450991075,0.0013799849488561023,3,0.005992459358454567,0.0034597480237116363,3,0.00830356259175194,0.004794064097580889,3,0.015884884316577755,0.009171142236222233,3,0.03330840789317827,0.01923061826340433,3,0.052263919963253594,0.03017458825968952,3,0.03811846613779674,0.022007706685752585,3,0.05743535649572859,0.033160318533811024,3,0.05380517469209769,0.031064432092277442,3,0.14132930644571348,0.0815965131208158,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31040-Na480-Cl320-F160-allSk.dat,0,main,31040,480,320,160,960,0.97,0.015,0.01,0.005,0.03,0.3333333333333333,228,0.7310480899119929,1,0.2998682691886077,0.2998682691886077,0.0644623584017112,-0.009174331885369,-0.0632493956707978,0.0735577442185862,0.5098792747981573,0.3600913568469277,0.3738907291305269,0.5965965981292625,-0.2200184749147603,0.958750850530144,0.0008518527366045401,0.0004918174067885506,3,0.0029359984608217787,0.0016950995016957809,3,0.0022291556245227816,0.0012870035998837964,3,0.006271728002946994,0.0036209838507855613,3,0.02763090345506898,0.015952709547736636,3,0.021354739863636826,0.012329164808745154,3,0.03693198137286771,0.02132268938733142,3,0.019175612190896953,0.011071044860290225,3,0.010568323553114574,0.006101624448273762,3,0.06991532083803743,0.04036562930631997,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31040-Na480-Cl320-F160-allSk.dat,0,main,31040,480,320,160,960,0.97,0.015,0.01,0.005,0.03,0.3333333333333333,467,0.6442238217327118,1,0.2998682691886077,0.2998682691886077,0.0639778619168216,-0.0115375017373534,-0.0636898531956435,0.0700875149733201,0.5061794980289033,0.3610285860489877,0.3661570855409101,0.5963397832602639,-0.2180319552476983,0.9425464238502186,0.00041142358135849434,0.00023753551544828663,3,0.0017612873559255452,0.0010168797290638978,3,0.0008481738210736804,0.0004896933839164829,3,0.0026060721167064384,0.0015046164381080402,3,0.018196984899999356,0.010506034130454183,3,0.012746631246894898,0.007359270981655665,3,0.01950889809454903,0.01126346756648086,3,0.011734757294538536,0.006775065282876749,3,0.007977693385645341,0.004605923423714635,3,0.024326525053594696,0.014044925788141075,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31040-Na480-Cl160-F320-allSk.dat,0,main,31040,480,160,320,960,0.97,0.015,0.005,0.01,0.03,0.6666666666666666,86,0.8960551919630771,1,0.2998682691886077,0.2998682691886077,0.0641417775398873,0.0229074820535292,-0.0662027365319708,0.0748682250964177,0.5789944224517094,0.2870531686271415,0.5061432073647287,0.8082268419457704,-0.2199357845840457,0.7754143821146036,0.0006015599347349157,0.0003473107902528973,3,0.006979730315077983,0.004029749176281265,3,0.009925719241025472,0.005730616675706704,3,0.00840406110529953,0.004852086941430748,3,0.02409749966936325,0.01391269792090379,3,0.04006547074873458,0.02313181032199099,3,0.050250575670229614,0.02901218339014073,3,0.10795621751489842,0.0623285512429204,3,0.05411527290478708,0.031243467378848883,3,0.08512866408731719,0.04914905712656581,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31040-Na480-Cl160-F320-allSk.dat,0,main,31040,480,160,320,960,0.97,0.015,0.005,0.01,0.03,0.6666666666666666,228,0.7905030918100195,1,0.2998682691886077,0.2998682691886077,0.0640938321383652,0.0231970638387577,-0.067774802527156,0.076334507428393,0.5883662876269187,0.2792032092204733,0.5231721107019341,0.8057163346257177,-0.227774785357767,0.8018134547470939,0.0004040225361958832,0.0002332625200313685,3,0.0015876262870675752,0.0009166164642109907,3,0.006495418793968596,0.0037501317891971233,3,0.0032245758891112993,0.0018617097576007855,3,0.017328093048857563,0.010004379186300798,3,0.011838384585394279,0.006834894527147703,3,0.018200312435597322,0.010507955284027407,3,0.056695892181104005,0.032733388612706395,3,0.025688828870571882,0.014831452263590908,3,0.02898531207623073,0.016734677729757123,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31040-Na480-Cl160-F320-allSk.dat,0,main,31040,480,160,320,960,0.97,0.015,0.005,0.01,0.03,0.6666666666666666,467,0.7017522802476375,1,0.2998682691886077,0.2998682691886077,0.0635984752362182,0.0213733639862521,-0.0672438599380388,0.0737255072818936,0.5729625400115117,0.2626869527996621,0.5159852067247255,0.7867676704869931,-0.2346042567968254,0.7978404965263016,0.00017927725815823804,0.00010350577325723677,3,0.0012226427730626227,0.0007058931341504558,3,0.0024307510193075994,0.0014033947553302,3,0.0016583316600417904,0.0009574382303308067,3,0.01876448860958858,0.010833682549951634,3,0.00795392423825854,0.004592200300072458,3,0.017419499924640362,0.01005715297063978,3,0.019327097881867785,0.011158505164750612,3,0.009207046958957877,0.005315691040195855,3,0.021474575757102852,0.012398352094096343,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30976-Na512-Cl480-F32-allSk.dat,0,main,30976,512,480,32,1024,0.968,0.016,0.015,0.001,0.032,0.0625,86,0.7784342723447618,1,0.3102221138316356,0.3102221138316356,0.0606678401482235,-0.0402660014509322,-0.0498752088941708,0.032101847632011,0.4695147659187357,0.4439487975364483,0.1586527642474701,0.4792308795367417,-0.0802580252883399,0.9454490523311148,0.0011993425154729447,0.0006924407241588675,3,0.0019685493750238327,0.0011365425115830794,3,0.0036651460768235885,0.0021160730740733998,3,0.006321701456694065,0.003649836037758768,3,0.03569648202980598,0.020609373509031123,3,0.027559998328169157,0.0159117724536341,3,0.04032953947640122,0.023284270472993886,3,0.025959366696048036,0.01498764734995554,3,0.02618208114677693,0.015116231598036288,3,0.0902934001366586,0.05213091887494643,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30976-Na512-Cl480-F32-allSk.dat,0,main,30976,512,480,32,1024,0.968,0.016,0.015,0.001,0.032,0.0625,228,0.6839987079405144,1,0.3102221138316356,0.3102221138316356,0.0604474626406629,-0.0410994102084428,-0.0508686672376245,0.0326158602213153,0.4695288032788812,0.4458563010858124,0.1513211842085335,0.4839009531189687,-0.090715128300412,0.9566229179906994,0.0005970739945707839,0.00034472083149156724,3,0.002800687574498246,0.0016169777250526025,3,0.0033016859465787238,0.0019062292700368307,3,0.0017208746600618525,0.0009935474482283162,3,0.019126755382741476,0.011042837368949916,3,0.01705417442569889,0.009846232195484087,3,0.012148876150832008,0.007014156916034285,3,0.0175751522277353,0.010147018869731626,3,0.0041194124577511775,0.00237834389138574,3,0.04102680195972756,0.023686835155438176,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30976-Na512-Cl480-F32-allSk.dat,0,main,30976,512,480,32,1024,0.968,0.016,0.015,0.001,0.032,0.0625,467,0.6179191197890874,1,0.3102221138316356,0.3102221138316356,0.0605167075692663,-0.0416545810768823,-0.0515170594620961,0.032906389034746,0.4603740153514004,0.4362867316866636,0.1517648154118895,0.4753745171549831,-0.0959706614059861,0.9787520349974534,0.00013265239312145293,7.658689487731891e-05,3,0.000855822813566202,0.0004941095317910697,3,0.0006766080682235331,0.00039063985032472955,3,0.002061111041983119,0.0011899830149186637,3,0.004193565239701685,0.0024211560200060257,3,0.0037121246795393235,0.0021431961829974817,3,0.0027351732000625395,0.0015791529833363573,3,0.0035356230041913702,0.002041292893222921,3,0.00565345178816346,0.003264021911746745,3,0.025891792360362643,0.014948633289057269,3
