row_id,x_Fe,x_Cu,x_Ni,split0_FeFe_S0,split0_FeFe_S0_error,split0_FeCu_S0,split0_FeCu_S0_error,split0_CuCu_S0,split0_CuCu_S0_error,split0_FeNi_S0,split0_FeNi_S0_error,split0_CuNi_S0,split0_CuNi_S0_error,split0_NiNi_S0,split0_NiNi_S0_error,split1_FeFe_S0,split1_FeFe_S0_error,split1_FeCu_S0,split1_FeCu_S0_error,split1_CuCu_S0,split1_CuCu_S0_error,split1_FeNi_S0,split1_FeNi_S0_error,split1_CuNi_S0,split1_CuNi_S0_error,split1_NiNi_S0,split1_NiNi_S0_error,split2_FeFe_S0,split2_FeFe_S0_error,split2_FeCu_S0,split2_FeCu_S0_error,split2_CuCu_S0,split2_CuCu_S0_error,split2_FeNi_S0,split2_FeNi_S0_error,split2_CuNi_S0,split2_CuNi_S0_error,split2_NiNi_S0,split2_NiNi_S0_error,split3_FeFe_S0,split3_FeFe_S0_error,split3_FeCu_S0,split3_FeCu_S0_error,split3_CuCu_S0,split3_CuCu_S0_error,split3_FeNi_S0,split3_FeNi_S0_error,split3_CuNi_S0,split3_CuNi_S0_error,split3_NiNi_S0,split3_NiNi_S0_error
184,0.55,0.35,0.1,1.76191873219,0.349077886563,-1.66533839096,0.35460122203,1.86557128085,0.362201226735,-0.58697151457,0.121243665359,0.23299391125,0.118462217626,1.15918853715,0.058968809723,1.66365339164,0.561262510109,-1.573767374,0.571332584193,1.78085249882,0.584538495299,-0.538277028145,0.18853357036,0.194939065064,0.185445882633,1.08768637115,0.0914185191735,1.58419849458,0.460448566325,-1.48721950445,0.466935055835,1.68308219981,0.476500783468,-0.538141838887,0.165752715253,0.188538934716,0.161272844862,1.14876363048,0.0847318573457,1.68235572656,0.503016388217,-1.58632907508,0.505927049429,1.76840921444,0.511280174782,-0.54948017998,0.183761302111,0.23160637952,0.179607488334,1.07720914503,0.0820498283312
185,0.55,0.4,0.05,1.91787093205,0.435328749232,-1.82754291571,0.43819439332,1.95945697671,0.441576965384,-0.41912629849,0.0952405922196,0.191903480908,0.093727139727,1.08366025353,0.0386134907254,1.4788246374,0.485233283392,-1.37087580409,0.482155247999,1.48171669556,0.479930736825,-0.370471921804,0.125177027152,0.148888596262,0.121169665402,1.03538490276,0.059505174501,1.75876013768,0.669343970888,-1.68278866955,0.681261792117,1.82641623425,0.694210114612,-0.321607350922,0.126399275562,0.0961674353713,0.125743066801,1.05572203881,0.0510925850441,2.14298415901,0.842088152734,-2.07332424038,0.853490402766,2.22349229823,0.865585225592,-0.401266050524,0.158127898961,0.195487498585,0.15853004942,1.01128702673,0.0489494754506
186,0.59,0.4,0.01,2.15531681607,0.466769051698,-2.22392560779,0.502416724555,2.48456884878,0.540904691337,-0.168606510079,0.0696977900288,0.0726349652032,0.0745930951692,1.0447100501,0.0255184578427,1.92988780001,0.768828826715,-1.97133529803,0.819760926777,2.20040999758,0.874194823557,-0.167574738492,0.0936097008804,0.0731406588672,0.0998747040367,1.06092901063,0.0410525478857,2.47257712377,1.30159167533,-2.57433231096,1.40218329659,2.86915875657,1.51064981268,-0.269684358839,0.187317521235,0.178412241237,0.200570264063,1.06049840463,0.0588981172653,1.67224313809,0.592978177775,-1.71123179293,0.640007576398,1.94142960885,0.690945639868,-0.029737613007,0.0824096348348,-0.0634875289433,0.0891261228584,0.908690472208,0.0300901464075
187,0.6,0.01,0.39,1.12192979811,0.287187146721,-0.191570455502,0.0544196465564,0.974190968929,0.0309934396554,-1.3496181499,0.363214666839,0.06966008898,0.0679268873541,1.79719880595,0.459693120602,1.16480633753,0.542525212315,-0.290760256468,0.134185221652,0.962079829814,0.0589553410031,-1.39412970607,0.681017261187,0.198911317639,0.166378522875,1.84006542941,0.855217386343,1.07023965083,0.452243915308,-0.169441404075,0.0841134661661,1.03320788438,0.0544618562146,-1.28483886013,0.572324039542,0.0309798115295,0.105836607271,1.71705910911,0.72483155117,0.950351803462,0.30178297219,-0.137560711961,0.0597997908829,0.839130873093,0.0394857622338,-1.13528029591,0.382352349267,0.026720448209,0.0750273488385,1.52497098224,0.485033610429
188,0.6,0.05,0.35,1.28477066066,0.277150291577,-0.668046378477,0.137041476296,1.20979571863,0.0827172301207,-1.4134370102,0.3265934175,0.401633803447,0.15773670581,1.85693993146,0.386401939266,1.35121714678,0.59935691548,-0.730272383868,0.316028359675,1.22541005195,0.185296714462,-1.47687831021,0.69576219584,0.478744123858,0.360922383603,1.90866870713,0.810642132781,1.14242958362,0.393636065207,-0.549485936003,0.209978894931,1.00693672507,0.134609318995,-1.28115050571,0.464202706643,0.337322912919,0.238509242777,1.71292824362,0.552089295672,1.06468218107,0.427466616948,-0.568844866231,0.217928043954,1.18905576125,0.138359699414,-1.14166844306,0.498563479698,0.265070737662,0.245768469994,1.5313659816,0.58462377189
189,0.6,0.1,0.3,1.27387401492,0.240131897065,-0.893790164483,0.173146891691,1.37525934281,0.14351178795,-1.22728915049,0.252881135834,0.427224885602,0.172864140941,1.65168591512,0.271969270697,1.25640111255,0.435638889098,-0.909816816288,0.332120626715,1.44347416887,0.281665801607,-1.18424003116,0.444198108604,0.399863947341,0.322050367806,1.60185368724,0.464546004113,1.21197388191,0.318725848687,-0.881957338362,0.223779009009,1.3177920848,0.172071726083,-1.13795404285,0.335249540537,0.450664075576,0.228346567766,1.49220533172,0.357474098909,1.15196107363,0.335651751572,-0.754124570097,0.223734435096,1.20635083858,0.170109408767,-1.14302364644,0.368282845408,0.332359852998,0.235080757583,1.59255750887,0.412023651647
190,0.6,0.15,0.25,1.36642824187,0.243989863932,-1.14440236479,0.221261874662,1.56129249842,0.209040907455,-1.11378423198,0.209075529486,0.48868853578,0.181316436481,1.5087230097,0.188844956648,1.21028767087,0.384111158559,-1.01239755382,0.340861810952,1.41141390801,0.317311103712,-0.976559443161,0.336345504952,0.412358271021,0.284874805443,1.34985333095,0.30791750222,1.42416064792,0.432296660841,-1.10460384691,0.354906600231,1.43212730685,0.303826800411,-1.2565331708,0.402458569243,0.548612818676,0.316871261988,1.699823652,0.390946304106,1.21730749389,0.366895616958,-1.09306545498,0.360134535798,1.59127793467,0.369439830387,-0.906222365694,0.290650127685,0.368188800711,0.271432148229,1.26606398015,0.245594348111
191,0.6,0.2,0.2,1.36259900691,0.230426507868,-1.22631470796,0.223849180614,1.62990750636,0.225106477678,-0.941339455828,0.171586425038,0.370355235641,0.157630586518,1.44204608948,0.141477142536,1.47499558074,0.413802164096,-1.30988212224,0.388724664891,1.64796868273,0.374525960812,-1.04563445103,0.315650206523,0.502588658539,0.287338411578,1.4753286976,0.254095169128,1.07507102643,0.300179867527,-1.02732639186,0.326514815617,1.47990615981,0.368076918748,-0.634404389938,0.185636336308,0.163216674308,0.185410181236,1.11681376213,0.140964933981,1.25975714695,0.332870600767,-1.07793848311,0.305855809449,1.45776363734,0.294117474416,-0.936931274516,0.274871630682,0.3141489442,0.238658729732,1.49647834806,0.245750507977
192,0.6,0.25,0.15,1.52441691875,0.268158655621,-1.51732790462,0.289293587726,1.91683923462,0.315229684404,-0.790292440751,0.139570225818,0.381545192015,0.144940959506,1.27457242242,0.085369252209,1.44003947716,0.401887781743,-1.43602394744,0.435317832403,1.8329132603,0.480029012963,-0.721333888487,0.213974030076,0.313330238258,0.218249519442,1.23140092879,0.13710803171,1.35520857382,0.365808884873,-1.35666681785,0.394617473189,1.75099323151,0.43108170107,-0.666463152989,0.191656735175,0.28076732036,0.198731177163,1.16232024281,0.119632779841,1.6055764486,0.55805119722,-1.5743350342,0.587417503837,1.93652736922,0.62316410968,-0.897621574338,0.316658365713,0.505884439446,0.325485402563,1.31438597318,0.197279312548
193,0.6,0.3,0.1,1.63130598779,0.281182337038,-1.64905500171,0.302861595516,1.97290972769,0.328388737709,-0.655697540407,0.120564124273,0.350708464862,0.125785792907,1.18334483066,0.0653756201352,1.55058456133,0.45526615562,-1.52384829164,0.475409312269,1.78263100683,0.498130416154,-0.72017716588,0.222042551406,0.437366894178,0.229067705153,1.17886196399,0.121452609502,1.49127977307,0.384406042064,-1.5100890678,0.421802721764,1.8268351034,0.465640999449,-0.564744099931,0.147545796178,0.272227130267,0.155182201508,1.10308292083,0.0842344817167,1.53674387021,0.454202145334,-1.5748337932,0.49904940584,1.91887563647,0.551466309507,-0.556741853762,0.171334786967,0.267855384004,0.181711727777,1.07931655027,0.0885695449398
